实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-12-20,中期分红,10.0,,,,,,,10送10股派6.7元(含税),2019半年报
2020-09-16,中期分红,,,,,,,,10派4.8元(含税),2020半年报
2021-05-20,年度分红,0.775,2.35,,,,,,10送0.775转增2.35股派5元(含税),2020年报
2021-10-21,中期分红,,,,,,,,10派7.8元(含税),2021半年报
2022-05-23,年度分红,,,,,,,,10派4.2元(含税),2021年报
2023-09-13,中期分红,,,,,,,,10派10元(含税),2023半年报
2024-05-22,年度分红,,,,,,,,10派8.93元(含税),2023年报
2024-11-01,中期分红,,,,,,,,10派3.562263元(含税),2024半年报
2025-05-22,年度分红,,,,,,,,10派5.95元(含税),2024年报
2025-09-12,中期分红,,,,,,,,10派2.6744元(含税),2025半年报
