实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2014-06-12,年度分红,,,2.0,2014-06-17,2014-06-18,2014-06-18,,10派2元(含税),2013年报
2014-09-25,中期分红,,10.0,,2014-10-08,2014-10-09,,2014-10-09,10转增10股,2014半年报
2015-05-21,年度分红,,,2.5,2015-05-27,2015-05-28,2015-05-28,,10派2.5元(含税),2014年报
2016-05-24,年度分红,,10.0,3.0,2016-05-30,2016-05-31,2016-05-31,2016-05-31,10转增10股派3元(含税),2015年报
2017-06-08,年度分红,,15.0,3.0,2017-06-13,2017-06-14,2017-06-14,2017-06-14,10转增15股派3元（含税）,2016年报
2018-06-13,年度分红,,,1.5,2018-06-20,2018-06-21,2018-06-21,,10派1.5元(含税),2017年报
2019-05-28,年度分红,,,1.0,2019-06-03,2019-06-04,2019-06-04,,10派1元(含税),2018年报
2020-06-03,年度分红,,,1.0,2020-06-09,2020-06-10,2020-06-10,,10派1元(含税),2019年报
2021-06-08,年度分红,,,1.0,2021-06-16,2021-06-17,2021-06-17,,10派1元(含税),2020年报
2022-06-21,年度分红,,,1.0,2022-06-27,2022-06-28,2022-06-28,,10派1元(含税),2021年报
2023-06-07,年度分红,,,1.0,2023-06-13,2023-06-14,2023-06-14,,10派1元(含税),2022年报
2024-07-03,年度分红,,,0.4,2024-07-10,2024-07-11,2024-07-11,,10派0.4元(含税),2023年报
