实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-19,年度分红,,,1.74,2007-06-22,2007-06-25,2007-06-28,,10派1.74元（含税）,2006年报
2008-06-19,年度分红,,,5.08,2008-06-24,2008-06-25,2008-06-30,,10派5.08元（含税）,2007年报
2009-06-18,年度分红,3.0,,11.15,2009-06-23,2009-06-24,2009-06-30,2009-06-25,10送3股派11.15元（含税）,2008年报
2010-06-09,年度分红,3.0,,2.0,2010-06-17,2010-06-18,2010-06-24,2010-06-21,10送3股派2元（含税）,2009年报
2011-06-14,年度分红,3.0,,2.0,2011-06-17,2011-06-20,2011-06-24,2011-06-21,10送3股派2元(含税),2010年报
2012-05-31,年度分红,,,2.0,2012-06-05,2012-06-06,2012-06-12,,10派2元(含税),2011年报
2013-06-14,年度分红,,,1.43,2013-06-19,2013-06-20,2013-06-28,,10派1.43元(含税),2012年报
2014-07-05,年度分红,,,0.85,2014-07-10,2014-07-11,2014-07-11,,10派0.85元(含税),2013年报
2015-06-24,年度分红,,,0.26,2015-06-29,2015-06-30,2015-06-30,,10派0.26元(含税),2014年报
2020-06-06,年度分红,,,3.02,2020-06-11,2020-06-12,2020-06-12,,10派3.02元(含税),2019年报
2021-06-04,年度分红,,,3.6,2021-06-09,2021-06-10,2021-06-10,,10派3.6元(含税),2020年报
2022-05-25,年度分红,,,7.6,2022-05-30,2022-05-31,2022-05-31,,10派7.6元(含税),2021年报
2023-05-24,年度分红,,,8.7,2023-05-29,2023-05-30,2023-05-30,,10派8.7元(含税),2022年报
2024-05-18,年度分红,,,9.9,2024-05-23,2024-05-24,2024-05-24,,10派9.9元(含税),2023年报
2025-05-29,年度分红,,,6.0,2025-06-06,2025-06-09,2025-06-09,,10派6元(含税),2024年报
