实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2018-06-01,年度分红,,,15.0,2018-06-08,2018-06-11,2018-06-11,,10派15元(含税),2017年报
2019-06-13,年度分红,,,10.0,2019-06-20,2019-06-21,2019-06-21,,10派10元(含税),2018年报
2020-07-01,年度分红,,,30.0,2020-07-07,2020-07-08,2020-07-08,,10派30元(含税),2019年报
2022-06-02,年度分红,,,1.8,2022-06-09,2022-06-10,2022-06-10,,10派1.8元(含税),2021年报
2024-09-27,中期分红,,,7.050487,2024-10-10,2024-10-11,2024-10-11,,10派7.050487元(含税),2024半年报
2025-05-28,年度分红,,4.5,2.1,2025-06-05,2025-06-06,2025-06-06,2025-06-06,10转增4.5股派2.1元(含税),2024年报
