实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1997-01-07,中期分红,0.0,6.0,0.0,1997-01-09,1997-01-10,,,10转增6股,1996半年报
1997-07-08,年度分红,0.0,0.0,1.0,1997-07-15,1997-07-16,1997-07-22,,10派1元(含税),1996年报
1998-06-17,年度分红,0.0,0.0,1.2,1998-06-22,1998-06-23,1998-06-29,,10派1.2元(含税),1997年报
2000-08-29,中期分红,,5.0,,2000-09-04,2000-09-05,,,10转增5股,2000半年报
2001-05-08,年度分红,,,1.0,2001-05-11,2001-05-14,2001-05-15,,10派1元（含税）,2000年报
2013-01-04,股改分红,,6.0,,2013-01-08,2013-01-09,,2013-01-09,10转增6股,2007年报
2020-07-21,年度分红,3.973831,3.973831,1.202083,2020-07-24,2020-07-27,2020-07-27,2020-07-27,10送3.973831转增3.973831股派1.202083元(含税),2019年报
2022-07-09,年度分红,,,0.56,2022-07-14,2022-07-15,2022-07-15,,10派0.56元(含税),2021年报
2023-07-14,年度分红,,,0.802151,2023-07-19,2023-07-20,2023-07-20,,10派0.802151元(含税),2022年报
2024-06-22,年度分红,,,1.999297,2024-06-27,2024-06-28,2024-06-28,,10派1.999297元(含税),2023年报
2024-12-09,中期分红,,,1.5,2024-12-16,2024-12-17,2024-12-17,,10派1.5元(含税),2024半年报
2025-05-27,年度分红,,3.0,3.5,2025-06-03,2025-06-04,2025-06-04,2025-06-04,10转增3股派3.5元(含税),2024年报
