实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-04-10,年度分红,,3.0,3.0,2012-04-16,2012-04-17,2012-04-17,2012-04-17,10转增3股派3元(含税),2011年报
2013-05-23,年度分红,,,1.0,2013-05-30,2013-05-31,2013-05-31,,10派1元(含税),2012年报
2014-02-26,年度分红,2.0,7.0,1.0,2014-03-04,2014-03-05,2014-03-05,2014-03-05,10送2转增7股派1元(含税),2013年报
2015-04-01,年度分红,,10.0,1.0,2015-04-07,2015-04-08,2015-04-08,2015-04-08,10转增10股派1元(含税),2014年报
2016-05-04,年度分红,,10.0,1.0,2016-05-09,2016-05-10,2016-05-10,2016-05-10,10转增10股派1元(含税),2015年报
2017-06-08,年度分红,,,0.2,2017-06-14,2017-06-15,2017-06-15,,10派0.2元(含税),2016年报
2018-07-04,年度分红,,,0.2,2018-07-11,2018-07-12,2018-07-12,,10派0.2元(含税),2017年报
2019-07-11,年度分红,,,0.1,2019-07-17,2019-07-18,2019-07-18,,10派0.1元(含税),2018年报
2020-06-30,年度分红,,,0.1,2020-07-07,2020-07-08,2020-07-08,,10派0.1元(含税),2019年报
2021-06-01,年度分红,,,0.5,2021-06-08,2021-06-09,2021-06-09,,10派0.5元(含税),2020年报
2023-06-01,年度分红,,,0.3,2023-06-08,2023-06-09,2023-06-09,,10派0.3元(含税),2022年报
