实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2020-04-01,年度分红,,8.0,5.0,2020-04-08,2020-04-09,2020-04-09,2020-04-09,10转增8股派5元(含税),2019年报
2021-04-08,年度分红,,,2.5,2021-04-15,2021-04-16,2021-04-16,,10派2.5元(含税),2020年报
2022-03-30,年度分红,,,4.0,2022-04-07,2022-04-08,2022-04-08,,10派4元(含税),2021年报
2023-04-18,年度分红,,,4.7,2023-04-21,2023-04-24,2023-04-24,,10派4.7元(含税),2022年报
2024-04-23,年度分红,,,1.67,2024-04-29,2024-04-30,2024-04-30,,10派1.67元(含税),2023年报
2024-09-11,中期分红,,,0.5,2024-09-19,2024-09-20,2024-09-20,,10派0.5元(含税),2024半年报
2024-11-09,季度分红,,,0.3,2024-11-15,2024-11-18,2024-11-18,,10派0.3元(含税),2024三季报
2025-04-22,年度分红,,,1.0,2025-04-28,2025-04-29,2025-04-29,,10派1元(含税),2024年报
2026-05-13,年度分红,,,1.0,2026-05-19,2026-05-20,2026-05-20,,10派1元(含税),2025年报
