实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2018-05-29,年度分红,,4.0,5.0,2018-06-04,2018-06-05,2018-06-05,,10转增4股派5元（含税）,2017年报
2019-05-09,年度分红,,,5.0,2019-05-15,2019-05-16,2019-05-16,,10派5元(含税),2018年报
2020-06-01,年度分红,,4.0,5.0,2020-06-05,2020-06-08,2020-06-08,,10转增4股派5元(含税),2019年报
2021-05-26,年度分红,,,4.0,2021-06-01,2021-06-02,2021-06-02,,10派4元(含税),2020年报
2022-05-21,年度分红,,,5.5,2022-05-26,2022-05-27,2022-05-27,,10派5.5元(含税),2021年报
2023-05-18,年度分红,,,8.0,2023-05-24,2023-05-25,2023-05-25,,10派8元(含税),2022年报
2024-05-23,年度分红,,2.0,11.0,2024-05-29,2024-05-30,2024-05-30,,10转增2股派11元(含税),2023年报
2024-11-06,季度分红,,,2.0,2024-11-12,2024-11-13,2024-11-13,,10派2元(含税),2024三季报
2025-05-21,年度分红,,,6.0,2025-05-27,2025-05-28,2025-05-28,,10派6元(含税),2024年报
2025-12-02,季度分红,,,2.0,2025-12-09,2025-12-10,2025-12-10,,10派2元(含税),2025三季报
2026-05-21,年度分红,,,6.0,2026-05-27,2026-05-28,2026-05-28,,10派6元(含税),2025年报
