实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-05-23,年度分红,,8.0,2.0,2011-05-26,2011-05-27,2011-05-27,2011-05-27,10转增8股派2元(含税),2010年报
2012-06-21,年度分红,,5.0,2.5,2012-06-27,2012-06-28,2012-06-28,2012-06-28,10转增5股派2.5元(含税),2011年报
2013-05-31,年度分红,,,1.0,2013-06-06,2013-06-07,2013-06-07,,10派1元(含税),2012年报
2014-05-23,年度分红,,,0.9,2014-05-29,2014-05-30,2014-05-30,,10派0.9元(含税),2013年报
2015-03-03,年度分红,3.8,10.0,1.0,2015-03-09,2015-03-10,2015-03-10,2015-03-10,10送3.8转增10股派1元(含税),2014年报
2016-06-08,年度分红,,,0.1,2016-06-16,2016-06-17,2016-06-17,,10派0.1元(含税),2015年报
2016-09-20,中期分红,,4.0,,2016-09-23,2016-09-26,,2016-09-26,10转增4股,2016半年报
2018-06-08,年度分红,,,0.1,2018-06-14,2018-06-15,2018-06-15,,10派0.1元(含税),2017年报
2021-05-26,年度分红,,,0.08,2021-06-01,2021-06-02,2021-06-02,,10派0.08元(含税),2020年报
2025-05-28,年度分红,,,0.08,2025-06-04,2025-06-05,2025-06-05,,10派0.08元(含税),2024年报
2026-05-29,年度分红,,,0.1,2026-06-04,2026-06-05,2026-06-05,,10派0.1元(含税),2025年报
