实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-04-25,年度分红,6.0,4.0,8.0,2011-04-28,2011-04-29,2011-04-29,2011-04-29,10送6转增4股派8元(含税),2010年报
2012-05-22,年度分红,,3.0,6.0,2012-05-25,2012-05-28,2012-05-28,2012-05-28,10转增3股派6元(含税),2011年报
2013-05-29,年度分红,,,5.0,2013-06-05,2013-06-06,2013-06-06,,10派5元(含税),2012年报
2014-07-02,年度分红,,4.876905,4.876905,2014-07-08,2014-07-09,2014-07-09,2014-07-09,10转增4.876905股派4.876905元(含税),2013年报
2015-06-12,年度分红,,10.0,5.0,2015-06-18,2015-06-19,2015-06-19,2015-06-19,10转增10股派5元(含税),2014年报
2016-06-22,年度分红,,,3.0,2016-06-28,2016-06-29,2016-06-29,,10派3元(含税),2015年报
2017-07-03,年度分红,,,1.0,2017-07-10,2017-07-11,2017-07-11,,10派1元(含税),2016年报
2018-07-06,年度分红,,,0.6,2018-07-13,2018-07-16,2018-07-16,,10派0.6元(含税),2017年报
2019-06-04,年度分红,,,0.4,2019-06-12,2019-06-13,2019-06-13,,10派0.4元(含税),2018年报
2020-05-27,年度分红,,,0.7,2020-06-03,2020-06-04,2020-06-04,,10派0.7元(含税),2019年报
2021-06-09,年度分红,,,2.2,2021-06-15,2021-06-16,2021-06-16,,10派2.2元(含税),2020年报
2022-06-03,年度分红,,,3.856557,2022-06-09,2022-06-10,2022-06-10,,10派3.856557元(含税),2021年报
2023-06-20,年度分红,,,3.27753,2023-06-28,2023-06-29,2023-06-29,,10派3.27753元(含税),2022年报
2024-07-04,年度分红,,,2.391867,2024-07-11,2024-07-12,2024-07-12,,10派2.391867元(含税),2023年报
2025-05-23,年度分红,,,0.76,2025-05-29,2025-05-30,2025-05-30,,10派0.76元(含税),2024年报
2025-09-17,中期分红,,,0.3,2025-09-24,2025-09-25,2025-09-25,,10派0.3元(含税),2025半年报
