实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-06-28,年度分红,,,0.3,2011-07-01,2011-07-04,2011-07-11,,10派0.3元(含税),2010年报
2012-07-02,年度分红,,,0.66,2012-07-05,2012-07-06,2012-07-13,,10派0.66元(含税),2011年报
2013-06-13,年度分红,,,0.87,2013-06-18,2013-06-19,2013-06-25,,10派0.87元(含税),2012年报
2014-06-20,年度分红,,,0.83,2014-06-25,2014-06-26,2014-06-26,,10派0.83元(含税),2013年报
2015-05-16,年度分红,,,0.84,2015-05-21,2015-05-22,2015-05-22,,10派0.84元(含税),2014年报
2016-06-02,年度分红,,,0.85,2016-06-07,2016-06-08,2016-06-08,,10派0.85元(含税),2015年报
2017-06-10,年度分红,,,0.68,2017-06-15,2017-06-16,2017-06-16,,10派0.68元(含税),2016年报
2018-06-01,年度分红,,,0.75,2018-06-06,2018-06-07,2018-06-07,,10派0.75元(含税),2017年报
2019-05-22,年度分红,,,0.93,2019-05-28,2019-05-29,2019-05-29,,10派0.93元(含税),2018年报
2020-07-02,年度分红,,,0.99,2020-07-07,2020-07-08,2020-07-08,,10派0.99元(含税),2019年报
2021-06-22,年度分红,,,0.82,2021-06-29,2021-06-30,2021-06-30,,10派0.82元(含税),2020年报
2022-05-13,年度分红,,,0.9,2022-05-18,2022-05-19,2022-05-19,,10派0.9元(含税),2021年报
2023-05-25,年度分红,,,0.87,2023-05-31,2023-06-01,2023-06-01,,10派0.87元(含税),2022年报
2024-05-09,年度分红,,,0.91,2024-05-15,2024-05-16,2024-05-16,,10派0.91元(含税),2023年报
2025-05-09,年度分红,,,1.08,2025-05-15,2025-05-16,2025-05-16,,10派1.08元(含税),2024年报
2025-10-17,中期分红,,,0.3,2025-10-23,2025-10-24,2025-10-24,,10派0.3元(含税),2025半年报
2026-05-19,年度分红,,,0.9,2026-05-22,2026-05-25,2026-05-25,,10派0.9元(含税),2025年报
