实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-05-01,年度分红,,10.0,5.0,2010-05-07,2010-05-10,2010-05-10,2010-05-10,10转增10股派5元（含税）,2009年报
2011-05-12,年度分红,,5.0,2.5,2011-05-18,2011-05-19,2011-05-19,2011-05-19,10转增5股派2.5元(含税),2010年报
2012-05-04,年度分红,,5.0,1.7,2012-05-09,2012-05-10,2012-05-10,2012-05-10,10转增5股派1.7元(含税),2011年报
2013-04-25,年度分红,,5.0,1.0,2013-05-06,2013-05-07,2013-05-07,2013-05-07,10转增5股派1元(含税),2012年报
2014-05-13,年度分红,,5.0,1.0,2014-05-16,2014-05-19,2014-05-19,2014-05-19,10转增5股派1元(含税),2013年报
2015-05-20,年度分红,,5.0,1.0,2015-05-25,2015-05-26,2015-05-26,2015-05-26,10转增5股派1元(含税),2014年报
2016-05-19,年度分红,,,0.6,2016-05-24,2016-05-25,2016-05-25,,10派0.6元(含税),2015年报
2016-10-20,中期分红,,20.0,,2016-10-25,2016-10-26,,2016-10-26,10转增20股,2016半年报
2017-05-18,年度分红,,,0.25,2017-05-23,2017-05-24,2017-05-24,,10派0.25元(含税),2016年报
2018-05-12,年度分红,,,0.2,2018-05-17,2018-05-18,2018-05-18,,10派0.2元(含税),2017年报
2019-05-10,年度分红,,,0.2,2019-05-15,2019-05-16,2019-05-16,,10派0.2元(含税),2018年报
2020-05-26,年度分红,,,0.5,2020-05-29,2020-06-01,2020-06-01,,10派0.5元(含税),2019年报
2021-06-03,年度分红,,,0.4,2021-06-09,2021-06-10,2021-06-10,,10派0.4元(含税),2020年报
2022-05-12,年度分红,,,0.4,2022-05-18,2022-05-19,2022-05-19,,10派0.4元(含税),2021年报
2023-05-05,年度分红,,,0.3,2023-05-11,2023-05-12,2023-05-12,,10派0.3元(含税),2022年报
2024-05-16,年度分红,,,0.3,2024-05-22,2024-05-23,2024-05-23,,10派0.3元(含税),2023年报
2025-06-16,年度分红,,,0.3,2025-06-23,2025-06-24,2025-06-24,,10派0.3元(含税),2024年报
