实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-05-24,年度分红,,,0.5,2001-05-28,2001-05-29,2001-05-30,,10派0.5元（含税）,2000年报
2002-04-18,年度分红,,,1.0,2002-04-23,2002-04-24,2002-04-24,,10派1元(含税),2001年报
2003-06-12,年度分红,1.0,4.0,1.0,2003-06-18,2003-06-19,2003-06-19,,10送1转增4股派1元(含税),2002年报
2004-04-23,年度分红,0.0,0.0,0.6,2004-04-29,2004-04-30,2004-04-30,,10派0.6元(含税),2003年报
2005-07-07,年度分红,0.0,0.0,0.5,2005-07-11,2005-07-12,2005-07-12,,10派0.5元(含税),2004年报
2017-05-11,年度分红,,10.0,1.0,2017-05-16,2017-05-17,2017-05-17,2017-05-17,10转增10股派1元(含税),2016年报
2018-06-01,年度分红,,,0.5,2018-06-07,2018-06-08,2018-06-08,,10派0.5元(含税),2017年报
2019-05-30,年度分红,,,0.5,2019-06-05,2019-06-06,2019-06-06,,10派0.5元(含税),2018年报
2020-06-10,年度分红,,,0.1,2020-06-15,2020-06-16,2020-06-16,,10派0.1元(含税),2019年报
2021-11-09,中期分红,,,0.6,2021-11-12,2021-11-15,2021-11-15,,10派0.6元(含税),2021半年报
2022-11-16,季度分红,,,0.6,2022-11-22,2022-11-23,2022-11-23,,10派0.6元(含税),2022三季报
2023-07-05,年度分红,,,0.6,2023-07-10,2023-07-11,2023-07-11,,10派0.6元(含税),2022年报
2024-05-21,年度分红,,,0.63,2024-05-24,2024-05-27,2024-05-27,,10派0.63元(含税),2023年报
2025-06-25,年度分红,,,0.69,2025-06-30,2025-07-01,2025-07-01,,10派0.69元(含税),2024年报
2025-10-30,中期分红,,,1.1,2025-11-04,2025-11-05,2025-11-05,,10派1.1元(含税),2025半年报
