实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2005-06-02,年度分红,0.0,8.0,3.0,2005-06-08,2005-06-09,2005-06-09,,10转增8股派3元(含税),2004年报
2006-06-01,年度分红,,,0.6,2006-06-06,2006-06-07,2006-06-07,,10派0.6元（含税）,2005年报
2011-04-14,年度分红,,,1.0,2011-04-19,2011-04-20,2011-04-20,,10派1元(含税),2010年报
2012-04-19,年度分红,,,2.0,2012-04-24,2012-04-25,2012-04-25,,10派2元(含税),2011年报
2012-10-16,中期分红,,10.0,,2012-10-22,2012-10-23,,2012-10-23,10转增10股,2012半年报
2013-05-27,年度分红,,,0.3,2013-05-31,2013-06-03,2013-06-03,,10派0.3元(含税),2012年报
2017-05-10,年度分红,,,0.2,2017-05-16,2017-05-17,2017-05-17,,10派0.2元（含税）,2016年报
2019-05-23,年度分红,,,0.05,2019-05-30,2019-05-31,2019-05-31,,10派0.05元(含税),2018年报
2020-05-11,年度分红,,,0.21,2020-05-18,2020-05-19,2020-05-19,,10派0.21元(含税),2019年报
2021-05-31,年度分红,,,0.091,2021-06-07,2021-06-08,2021-06-08,,10派0.091元(含税),2020年报
2022-06-08,年度分红,,,0.2,2022-06-15,2022-06-16,2022-06-16,,10派0.2元(含税),2021年报
2023-05-17,年度分红,,,0.12,2023-05-24,2023-05-25,2023-05-25,,10派0.12元(含税),2022年报
2024-05-16,年度分红,,,0.31,2024-05-23,2024-05-24,2024-05-24,,10派0.31元(含税),2023年报
2025-05-16,年度分红,,,0.04,2025-05-23,2025-05-26,2025-05-26,,10派0.04元(含税),2024年报
2026-05-20,年度分红,,,0.21,2026-05-25,2026-05-26,2026-05-26,,10派0.21元(含税),2025年报
