实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-06-04,年度分红,,,1.0,2003-06-09,2003-06-10,2003-06-16,,10股派1元(含税),2002年报
2007-01-22,股改分红,,10.9152,,2007-01-23,,,,10转增10.9152股,
2009-07-08,年度分红,,10.0,2.46,2009-07-13,2009-07-14,2009-07-22,2009-07-15,10转增10股派2.46元（含税）,2008年报
2013-03-12,年度分红,,2.0,3.0,2013-03-18,2013-03-19,2013-03-25,2013-03-20,10转增2股派3元(含税),2012年报
2014-05-13,年度分红,,,0.5,2014-05-16,2014-05-19,2014-05-23,,10派0.5元(含税),2013年报
2017-05-25,年度分红,,,0.22,2017-06-01,2017-06-02,2017-06-02,,10派0.22元(含税),2016年报
2018-05-18,年度分红,,,19.0,2018-05-24,2018-05-25,2018-05-25,,10派19元(含税),2017年报
2019-06-24,年度分红,,4.9,,2019-06-27,2019-06-28,,,10转增4.9股,2018年报
2020-05-28,年度分红,,4.0,,2020-06-03,2020-06-04,,,10转增4股,2019年报
2021-06-16,年度分红,,,5.0,2021-06-21,2021-06-22,2021-06-22,,10派5元(含税),2020年报
2024-07-16,季度分红,,,0.32,2024-07-23,2024-07-24,2024-07-24,,10派0.32元(含税),2024一季报
2025-07-09,年度分红,,,0.2,2025-07-15,2025-07-16,2025-07-16,,10派0.2元(含税),2024年报
