实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-12,年度分红,,,1.0,2017-06-16,2017-06-19,2017-06-19,,10派1元(含税),2016年报
2018-08-21,年度分红,,,2.0,2018-08-24,2018-08-27,2018-08-27,,10派2元(含税),2017年报
2019-07-01,年度分红,,,2.0,2019-07-05,2019-07-08,2019-07-08,,10派2元(含税),2018年报
2020-07-14,年度分红,,,1.5,2020-07-17,2020-07-20,2020-07-20,,10派1.5元(含税),2019年报
2022-07-14,年度分红,,,1.5,2022-07-19,2022-07-20,2022-07-20,,10派1.5元(含税),2021年报
2023-07-04,年度分红,,,1.0,2023-07-07,2023-07-10,2023-07-10,,10派1元(含税),2022年报
2024-06-04,年度分红,,,0.3,2024-06-07,2024-06-11,2024-06-11,,10派0.3元(含税),2023年报
2025-06-13,年度分红,,,0.2,2025-06-18,2025-06-19,2025-06-19,,10派0.2元(含税),2024年报
