实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1996-10-17,年度分红,0.0,3.0,0.0,1996-10-21,1996-10-22,,,10转增3股,1995年报
1997-11-01,年度分红,2.4615,2.4615,0.0,1997-11-06,1997-11-07,,,10送2.4615转增2.4615股,1996年报
2000-04-07,年度分红,,2.0,2.0,2000-04-12,2000-04-13,2000-04-14,,10转增2股派2元（含税）,1999年报
2001-04-26,年度分红,,3.0,2.0,2001-05-10,2001-05-11,2001-05-14,,10转增3股派2元（含税）,2000年报
2002-05-27,年度分红,,,2.0,2002-05-30,2002-05-31,2002-05-31,,10派2元(含税),2001年报
2003-07-02,年度分红,,,2.5,2003-07-09,2003-07-10,2003-07-10,,10股派2.5元(含税),2002年报
2004-06-10,年度分红,2.0,3.0,0.5,2004-06-16,2004-06-17,2004-06-17,2004-06-17,10送2转增3股派0.5元(含税),2003年报
2005-08-05,年度分红,0.0,0.0,2.0,2005-08-11,2005-08-12,2005-08-12,,10派2元（含税）,2004年报
2006-07-19,年度分红,,,2.0,2006-07-25,2006-07-26,2006-07-26,,10派2元（含税）,2005年报
2007-05-25,年度分红,,,2.0,2007-05-30,2007-05-31,2007-05-31,,10派2元（含税）,2006年报
2007-05-30,股改分红,,4.0,,2007-05-31,,,,10转增4股,
2008-08-22,年度分红,,,2.0,2008-08-27,2008-08-28,2008-08-28,,10派2元（含税）,2007年报
2009-08-28,年度分红,,,1.6,2009-09-03,2009-09-04,2009-09-04,,10派1.6元（含税）,2008年报
2010-07-16,年度分红,,,3.5,2010-07-22,2010-07-23,2010-07-23,,10派3.5元（含税）,2009年报
2011-08-06,年度分红,,,3.0,2011-08-11,2011-08-12,2011-08-12,,10派3元(含税),2010年报
2012-08-04,年度分红,,,3.0,2012-08-09,2012-08-10,2012-08-10,,10派3元(含税),2011年报
2013-07-31,年度分红,,,7.0,2013-08-05,2013-08-06,2013-08-06,,10派7元(含税),2012年报
2014-07-29,年度分红,,,7.0,2014-08-04,2014-08-05,2014-08-05,,10派7元(含税),2013年报
2015-08-01,年度分红,,,8.0,2015-08-06,2015-08-07,2015-08-07,,10派8元(含税),2014年报
2016-07-18,年度分红,,,8.0,2016-07-21,2016-07-22,2016-07-22,,10派8元(含税),2015年报
2017-07-11,年度分红,,,9.0,2017-07-17,2017-07-18,2017-07-18,,10派9元(含税),2016年报
2018-08-01,年度分红,,,9.0,2018-08-08,2018-08-09,2018-08-09,,10派9元(含税),2017年报
2019-08-08,年度分红,,,10.095303,2019-08-14,2019-08-15,2019-08-15,,10派10.095303元(含税),2018年报
2020-07-09,年度分红,,,2.031195,2020-07-15,2020-07-16,2020-07-16,,10派2.031195元(含税),2019年报
2021-08-14,年度分红,,,3.046793,2021-08-19,2021-08-20,2021-08-20,,10派3.046793元(含税),2020年报
2022-08-17,年度分红,,,6.601386,2022-08-22,2022-08-23,2022-08-23,,10派6.601386元(含税),2021年报
2023-06-15,年度分红,,,11.780936,2023-06-20,2023-06-21,2023-06-21,,10派11.780936元(含税),2022年报
2024-06-04,年度分红,,,17.841902,2024-06-11,2024-06-12,2024-06-12,,10派17.841902元(含税),2023年报
2024-09-04,中期分红,,,11.46693,2024-09-09,2024-09-10,2024-09-10,,10派11.46693元(含税),2024半年报
2025-05-27,年度分红,,,12.729896,2025-06-04,2025-06-05,2025-06-05,,10派12.729896元(含税),2024年报
2025-08-27,中期分红,,,12.700919,2025-09-02,2025-09-03,2025-09-03,,10派12.700919元(含税),2025半年报
2026-05-19,年度分红,,,14.354904,2026-05-22,2026-05-25,2026-05-25,,10派14.354904元(含税),2025年报
