实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-05-30,年度分红,0.0,0.0,1.0,1998-06-05,1998-06-08,1998-06-12,,10派1元(含税),1997年报
1999-06-08,年度分红,1.0,3.0,0.0,1999-06-14,1999-06-15,,,10送1转增3股,1998年报
2000-07-17,年度分红,,,1.0,2000-07-20,2000-07-21,2000-07-24,,10派1元（含税）,1999年报
2001-08-07,年度分红,,,1.0,2001-08-13,2001-08-14,2001-08-15,,10派1元（含税）,2000年报
2002-08-09,年度分红,,,0.5,2002-08-15,2002-08-16,2002-08-16,,10派0.5元(含税),2001年报
2003-07-08,年度分红,,,2.0,2003-07-15,2003-07-16,2003-07-16,,10股派2元（含税）,2002年报
2004-08-12,年度分红,0.0,0.0,1.0,2004-08-19,2004-08-20,2004-08-20,,10派1元(含税),2003年报
2006-08-08,年度分红,,,2.0,2006-08-14,2006-08-15,2006-08-15,,10派2元（含税）,2005年报
2007-08-08,年度分红,,,1.0,2007-08-15,2007-08-16,2007-08-16,,10派1元（含税）,2006年报
2008-06-11,年度分红,,,2.0,2008-06-16,2008-06-17,2008-06-17,,10派2元（含税）,2007年报
2009-06-25,年度分红,,,3.5,2009-07-01,2009-07-02,2009-07-02,,10派3.5元（含税）,2008年报
2010-07-21,年度分红,,,4.27,2010-07-26,2010-07-27,2010-07-27,,10派4.27元（含税）,2009年报
2011-07-22,年度分红,,,3.0,2011-07-28,2011-07-29,2011-07-29,,10派3元(含税),2010年报
2014-07-19,年度分红,,,0.19,2014-07-24,2014-07-25,2014-07-25,,10派0.19元(含税),2013年报
2015-07-08,年度分红,,,0.1,2015-07-14,2015-07-15,2015-07-15,,10派0.1元(含税),2014年报
2016-07-09,年度分红,,,0.43,2016-07-14,2016-07-15,2016-07-15,,10派0.43元(含税),2015年报
2018-07-14,年度分红,,,0.2,2018-07-19,2018-07-20,2018-07-20,,10派0.2元(含税),2017年报
2019-07-04,年度分红,,,0.3,2019-07-09,2019-07-10,2019-07-10,,10派0.3元(含税),2018年报
2021-07-08,年度分红,,,5.0,2021-07-14,2021-07-15,2021-07-15,,10派5元(含税),2020年报
2022-06-11,年度分红,,,6.5,2022-06-17,2022-06-20,2022-06-20,,10派6.5元(含税),2021年报
2024-06-15,年度分红,,,1.5,2024-06-21,2024-06-24,2024-06-24,,10派1.5元(含税),2023年报
2025-06-11,年度分红,,,0.5,2025-06-16,2025-06-17,2025-06-17,,10派0.5元(含税),2024年报
