实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-05-07,年度分红,,10.0,5.0,2011-05-12,2011-05-13,2011-05-13,2011-05-13,10转增10股派5元(含税),2010年报
2012-05-25,年度分红,,,1.5,2012-05-30,2012-05-31,2012-05-31,,10派1.5元(含税),2011年报
2014-05-14,年度分红,,,1.0,2014-05-20,2014-05-21,2014-05-21,,10派1元(含税),2013年报
2015-05-04,年度分红,,10.0,1.0,2015-05-11,2015-05-12,2015-05-12,2015-05-12,10转增10股派1元(含税),2014年报
2016-04-26,年度分红,,,0.5,2016-04-29,2016-05-03,2016-05-03,,10派0.5元(含税),2015年报
2018-06-19,年度分红,,,0.5,2018-06-25,2018-06-26,2018-06-26,,10派0.5元(含税),2017年报
2024-11-05,中期分红,,,0.6,2024-11-11,2024-11-12,2024-11-12,,10派0.6元(含税),2024半年报
2025-07-03,年度分红,,,0.6,2025-07-09,2025-07-10,2025-07-10,,10派0.6元(含税),2024年报
2025-10-21,中期分红,,,0.6,2025-10-27,2025-10-28,2025-10-28,,10派0.6元(含税),2025半年报
2026-05-27,年度分红,,,0.6,2026-06-03,2026-06-04,2026-06-04,,10派0.6元(含税),2025年报
