实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2000-05-17,年度分红,,,1.0,2000-05-25,2000-05-26,2000-05-29,,10派1元(含税),1999年报
2001-04-04,年度分红,,,1.2,2001-04-10,2001-04-11,2001-04-12,,10派1.20元（含税）,2000年报
2002-06-14,年度分红,2.0,4.0,1.0,2002-06-20,2002-06-21,2002-06-21,,10送2转增4股派1元(含税),2001年报
2003-06-03,年度分红,,,1.0,2003-06-10,2003-06-11,2003-06-11,,10股派1.00元（含税）,2002年报
2004-05-19,年度分红,0.0,0.0,4.5,2004-05-26,2004-05-27,2004-05-27,,10派4.5元(含税),2003年报
2005-06-17,年度分红,0.0,0.0,1.5,2005-06-23,2005-06-24,2005-06-24,,10派1.5元(含税),2004年报
2009-05-13,年度分红,,,0.4,2009-05-18,2009-05-19,2009-05-19,,10派0.4元（含税）,2008年报
2013-06-21,年度分红,,,1.0,2013-06-26,2013-06-27,2013-06-27,,10派1元(含税),2012年报
2017-06-12,年度分红,,,1.0,2017-06-19,2017-06-20,2017-06-20,,10派1元(含税),2016年报
2020-06-05,年度分红,,,4.4,2020-06-11,2020-06-12,2020-06-12,,10派4.4元(含税),2019年报
2023-07-07,年度分红,,,2.4,2023-07-12,2023-07-13,2023-07-13,,10派2.4元(含税),2022年报
2024-05-17,年度分红,,,4.0,2024-05-22,2024-05-23,2024-05-23,,10派4元(含税),2023年报
2024-10-24,中期分红,,,3.8,2024-10-30,2024-10-31,2024-10-31,,10派3.8元(含税),2024半年报
2025-05-21,年度分红,,,4.0,2025-05-28,2025-05-29,2025-05-29,,10派4元(含税),2024年报
2025-09-05,中期分红,,,5.0,2025-09-11,2025-09-12,2025-09-12,,10派5元(含税),2025半年报
