实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-05-11,年度分红,,,3.0,2010-05-17,2010-05-18,2010-05-18,,10派3元（含税）,2009年报
2011-05-20,年度分红,,10.0,5.0,2011-05-25,2011-05-26,2011-05-26,2011-05-26,10转增10股派5元(含税),2010年报
2012-06-02,年度分红,,,2.5,2012-06-07,2012-06-08,2012-06-08,,10派2.5元(含税),2011年报
2013-05-25,年度分红,,10.0,2.5,2013-05-30,2013-05-31,2013-05-31,2013-05-31,10转增10股派2.5元(含税),2012年报
2014-06-25,年度分红,,,1.5,2014-06-30,2014-07-01,2014-07-01,,10派1.5元(含税),2013年报
2015-06-17,年度分红,,,1.2,2015-06-24,2015-06-25,2015-06-25,,10派1.2元(含税),2014年报
2016-08-16,年度分红,,,0.35,2016-08-22,2016-08-23,2016-08-23,,10派0.35元(含税),2015年报
2017-06-23,年度分红,,,0.5,2017-06-28,2017-06-29,2017-06-29,,10派0.5元(含税),2016年报
2018-06-08,年度分红,,,1.2,2018-06-14,2018-06-15,2018-06-15,,10派1.2元(含税),2017年报
2019-06-17,年度分红,,,0.21,2019-06-20,2019-06-21,2019-06-21,,10派0.21元(含税),2018年报
2020-06-05,年度分红,,,0.19,2020-06-10,2020-06-11,2020-06-11,,10派0.19元(含税),2019年报
2021-05-20,年度分红,,,0.19,2021-05-27,2021-05-28,2021-05-28,,10派0.19元(含税),2020年报
2022-06-10,年度分红,,,0.3,2022-06-16,2022-06-17,2022-06-17,,10派0.3元(含税),2021年报
2023-08-15,年度分红,,,0.45,2023-08-21,2023-08-22,2023-08-22,,10派0.45元(含税),2022年报
2024-06-27,年度分红,,,0.43,2024-07-03,2024-07-04,2024-07-04,,10派0.43元(含税),2023年报
2025-07-22,年度分红,,,0.38,2025-07-29,2025-07-30,2025-07-30,,10派0.38元(含税),2024年报
2026-06-30,年度分红,,,0.4,2026-07-07,2026-07-08,2026-07-08,,10派0.4元(含税),2025年报
