实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2005-04-21,年度分红,0.0,10.0,4.0,2005-04-27,2005-04-28,2005-04-28,,10转增10股派4元(含税),2004年报
2006-06-02,年度分红,,,2.0,2006-06-09,2006-06-12,2006-06-12,,10派2元（含税）,2005年报
2007-09-11,中期分红,,5.0,3.0,2007-09-17,2007-09-18,2007-09-18,,10转增5股派3元（含税）,2007半年报
2008-04-09,年度分红,,6.0,2.0,2008-04-14,2008-04-15,2008-04-15,,10转增6股派2元（含税）,2007年报
2009-04-14,年度分红,,6.0,2.0,2009-04-17,2009-04-20,2009-04-20,2009-04-20,10转增6股派2元（含税）,2008年报
2010-04-14,年度分红,,,2.0,2010-04-19,2010-04-20,2010-04-20,,10派2元（含税）,2009年报
2011-04-28,年度分红,,,8.0,2011-05-05,2011-05-06,2011-05-06,,10派8元(含税),2010年报
2012-05-22,年度分红,,,1.0,2012-05-28,2012-05-29,2012-05-29,,10派1元(含税),2011年报
2013-05-22,年度分红,,,1.0,2013-05-28,2013-05-29,2013-05-29,,10派1元(含税),2012年报
2014-05-08,年度分红,,4.0,2.0,2014-05-15,2014-05-16,2014-05-16,2014-05-16,10转增4股派2元(含税),2013年报
2015-04-17,年度分红,,,1.0,2015-04-22,2015-04-23,2015-04-23,,10派1元(含税),2014年报
2016-04-19,年度分红,,2.0,2.0,2016-04-22,2016-04-25,2016-04-25,2016-04-25,10转增2股派2元(含税),2015年报
2017-05-24,年度分红,,,1.0,2017-05-31,2017-06-01,2017-06-01,,10派1元(含税),2016年报
2018-05-15,年度分红,,,1.0,2018-05-22,2018-05-23,2018-05-23,,10派1元(含税),2017年报
2019-05-30,年度分红,,,1.0,2019-06-06,2019-06-10,2019-06-10,,10派1元(含税),2018年报
2020-06-03,年度分红,,,1.0,2020-06-08,2020-06-09,2020-06-09,,10派1元(含税),2019年报
2021-06-16,年度分红,,,1.999798,2021-06-22,2021-06-23,2021-06-23,,10派1.999798元(含税),2020年报
2022-06-14,年度分红,,,2.0,2022-06-20,2022-06-21,2022-06-21,,10派2元(含税),2021年报
2023-06-16,年度分红,,,2.999822,2023-06-21,2023-06-26,2023-06-26,,10派2.999822元(含税),2022年报
2024-06-15,年度分红,,,3.99916,2024-06-21,2024-06-24,2024-06-24,,10派3.99916元(含税),2023年报
2025-06-27,年度分红,,,4.998403,2025-07-03,2025-07-04,2025-07-04,,10派4.998403元(含税),2024年报
2026-07-01,年度分红,,,6.998907,2026-07-07,2026-07-08,2026-07-08,,10派6.998907元(含税),2025年报
