实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-05-23,年度分红,,,1.5686,2008-05-28,2008-05-29,2008-06-13,,10派1.5686元（含税）,2007年报
2008-09-13,中期分红,,,1.3183,2008-09-18,2008-09-19,2008-10-16,,10派1.3183元（含税）,2008半年报
2009-05-22,年度分红,,,1.4953,2009-05-27,2009-06-01,2009-06-19,,10派1.4953元（含税）,2008年报
2009-09-11,中期分红,,,1.2417,2009-09-16,2009-09-17,2009-10-16,,10派1.2417元（含税）,2009半年报
2010-05-28,年度分红,,,1.3003,2010-06-02,2010-06-03,2010-06-30,,10派1.3003元（含税）,2009年报
2010-09-11,中期分红,,,1.6063,2010-09-15,2010-09-16,2010-10-15,,10派1.6063元（含税）,2010半年报
2011-05-26,年度分红,,,1.8357,2011-05-31,2011-06-01,2011-06-30,,10派1.8357元(含税),2010年报
2011-09-08,中期分红,,,1.6229,2011-09-14,2011-09-15,2011-10-21,,10派1.6229元(含税),2011半年报
2012-06-01,年度分红,,,1.6462,2012-06-06,2012-06-07,2012-07-12,,10派1.6462元（含税）,2011年报
2012-09-12,中期分红,,,1.525,2012-09-17,2012-09-18,2012-10-24,,10派1.525元(含税),2012半年报
2013-05-31,年度分红,,,1.3106,2013-06-05,2013-06-06,2013-07-18,,10派1.3106元(含税),2012年报
2013-09-06,中期分红,,,1.611,2013-09-11,2013-09-12,2013-10-24,,10派1.611元(含税),2013半年报
2014-05-29,年度分红,,,1.5755,2014-06-04,2014-06-05,2014-06-10,,10派1.5755元(含税),2013年报
2014-09-12,中期分红,,,1.675,2014-09-18,2014-09-19,2014-09-19,,10派1.675元(含税),2014半年报
2015-07-02,年度分红,,,0.9601,2015-07-08,2015-07-09,2015-07-09,,10派0.9601元(含税),2014年报
2015-09-11,中期分红,,,0.6247,2015-09-17,2015-09-18,2015-09-18,,10派0.6247元（含税）,2015半年报
2016-06-02,年度分红,,,0.2486,2016-06-07,2016-06-08,2016-06-08,,10派0.2486元(含税),2015年报
2016-09-13,中期分红,,,0.0131,2016-09-20,2016-09-21,2016-09-21,,10派0.0131元(含税),2016半年报
2016-09-13,特别分红,,,0.2,2016-09-20,2016-09-21,2016-09-21,,10派0.2元(含税),2016半年报
2017-06-16,年度分红,,,0.1801,2017-06-21,2017-06-22,2017-06-22,,10派0.1801元(含税),2016年报
2017-06-16,特别分红,,,0.2,2017-06-21,2017-06-22,2017-06-22,,10派0.2元(含税),2016年报
2017-09-08,中期分红,,,0.3117,2017-09-14,2017-09-15,2017-09-15,,10派0.3117元（含税）,2017半年报
2017-09-08,特别分红,,,0.3809,2017-09-14,2017-09-15,2017-09-15,,10派0.3809元(含税),2017半年报
2018-06-13,特别分红,,,0.3585,2018-06-20,2018-06-21,2018-06-21,,10派0.3585元(含税),2017年报
2018-06-13,年度分红,,,0.2489,2018-06-20,2018-06-21,2018-06-21,,10派0.2489元(含税),2017年报
2018-09-14,中期分红,,,0.666,2018-09-20,2018-09-21,2018-09-21,,10派0.666元(含税),2018半年报
2018-09-14,特别分红,,,0.222,2018-09-20,2018-09-21,2018-09-21,,10派0.222元(含税),2018半年报
2019-06-21,年度分红,,,0.6271,2019-06-27,2019-06-28,2019-06-28,,10派0.6271元(含税),2018年报
2019-06-21,特别分红,,,0.2729,2019-06-27,2019-06-28,2019-06-28,,10派0.2729元(含税),2018年报
2019-09-17,中期分红,,,0.6988,2019-09-23,2019-09-24,2019-09-24,,10派0.6988元(含税),2019半年报
2019-09-17,特别分红,,,0.0777,2019-09-23,2019-09-24,2019-09-24,,10派0.0777元(含税),2019半年报
2020-06-20,年度分红,,,0.4243,2020-06-29,2020-06-30,2020-06-30,,10派0.4243元(含税),2019年报
2020-06-20,特别分红,,,0.2358,2020-06-29,2020-06-30,2020-06-30,,10派0.2358元(含税),2019年报
2020-09-14,中期分红,,,0.8742,2020-09-21,2020-09-22,2020-09-22,,10派0.8742元(含税),2020半年报
2021-06-21,年度分红,,,0.8742,2021-06-28,2021-06-29,2021-06-29,,10派0.8742元(含税),2020年报
2021-09-09,中期分红,,,1.304,2021-09-16,2021-09-17,2021-09-17,,10派1.304元(含税),2021半年报
2022-06-18,年度分红,,,0.9622,2022-06-27,2022-06-28,2022-06-28,,10派0.9622元(含税),2021年报
2022-09-09,中期分红,,,2.0258,2022-09-19,2022-09-20,2022-09-20,,10派2.0258元(含税),2022半年报
2023-06-20,年度分红,,,2.2,2023-06-27,2023-06-28,2023-06-28,,10派2.2元(含税),2022年报
2023-09-12,中期分红,,,2.1,2023-09-19,2023-09-20,2023-09-20,,10派2.1元(含税),2023半年报
2024-06-18,年度分红,,,2.3,2024-06-25,2024-06-26,2024-06-26,,10派2.3元(含税),2023年报
2024-09-10,中期分红,,,2.2,2024-09-18,2024-09-19,2024-09-19,,10派2.2元(含税),2024半年报
2025-06-17,年度分红,,,2.5,2025-06-24,2025-06-25,2025-06-25,,10派2.5元(含税),2024年报
2025-09-09,中期分红,,,2.2,2025-09-16,2025-09-17,2025-09-17,,10派2.2元(含税),2025半年报
