实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-04-21,年度分红,,10.0,1.0,2012-04-26,2012-04-27,2012-04-27,2012-04-27,10转增10股派1元(含税),2011年报
2013-05-13,年度分红,2.0,1.0,1.0,2013-05-17,2013-05-20,2013-05-20,2013-05-20,10送2转增1股派1元(含税),2012年报
2014-06-05,年度分红,,,0.8,2014-06-11,2014-06-12,2014-06-12,,10派0.8元(含税),2013年报
2015-04-22,年度分红,,,0.2,2015-04-28,2015-04-29,2015-04-29,,10派0.2元(含税),2014年报
2016-05-25,年度分红,,10.0,0.3,2016-05-30,2016-05-31,2016-05-31,2016-05-31,10转增10股派0.3元(含税),2015年报
2017-06-08,年度分红,,,0.25,2017-06-13,2017-06-14,2017-06-14,,10派0.25元(含税),2016年报
2018-05-09,年度分红,,,0.3,2018-05-16,2018-05-17,2018-05-17,,10派0.3元(含税),2017年报
2019-06-12,年度分红,,,0.3,2019-06-19,2019-06-20,2019-06-20,,10派0.3元(含税),2018年报
2020-06-09,年度分红,,,0.3,2020-06-16,2020-06-17,2020-06-17,,10派0.3元(含税),2019年报
2022-06-02,年度分红,,,0.06,2022-06-09,2022-06-10,2022-06-10,,10派0.06元(含税),2021年报
2023-05-11,年度分红,,,0.26,2023-05-18,2023-05-19,2023-05-19,,10派0.26元(含税),2022年报
2024-05-24,年度分红,,,0.22,2024-05-30,2024-05-31,2024-05-31,,10派0.22元(含税),2023年报
2025-06-10,年度分红,,,0.25,2025-06-16,2025-06-17,2025-06-17,,10派0.25元(含税),2024年报
2026-05-19,年度分红,,,0.12,2026-05-26,2026-05-27,2026-05-27,,10派0.12元(含税),2025年报
