实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-07-04,年度分红,4.0,0.0,0.36,1994-07-18,1994-07-19,,,10送4股派0.36元,1993年报
1995-08-25,年度分红,3.0,0.0,0.24,1995-08-29,1995-08-30,1995-09-01,,10送3股派0.24元,1994年报
1996-06-26,年度分红,0.0,4.0,3.0,1996-07-02,1996-07-03,1996-07-05,,10转增4股派3.00元,1995年报
1997-04-08,年度分红,6.5,3.5,0.0,1997-04-11,1997-04-14,,,10送6.5转增3.5股,1996年报
1998-09-23,中期分红,2.0,2.0,0.0,1998-09-28,1998-09-29,,,10送2转增2股,1998半年报
1999-07-05,年度分红,0.0,0.0,1.7,1999-07-09,1999-07-12,1999-07-16,,10派1.70元(含税),1998年报
2010-04-13,年度分红,,,0.5,2010-04-16,2010-04-19,2010-04-19,,10派0.5元（含税）,2009年报
2012-07-07,年度分红,,,0.6,2012-07-13,2012-07-16,2012-07-16,,10派0.6元(含税),2011年报
2013-05-17,年度分红,,,0.6,2013-05-23,2013-05-24,2013-05-24,,10派0.6元(含税),2012年报
2014-09-19,中期分红,,,0.3,2014-09-25,2014-09-26,2014-09-26,,10派0.3元(含税),2014半年报
2016-07-14,年度分红,,,0.3,2016-07-20,2016-07-21,2016-07-21,,10派0.3元(含税),2015年报
2017-08-12,年度分红,,,0.3,2017-08-18,2017-08-21,2017-08-21,,10派0.3元(含税),2016年报
