实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1999-06-12,年度分红,0.0,0.0,2.0,1999-06-17,1999-06-18,1999-06-19,,10派2元(含税),1998年报
2000-03-04,年度分红,,8.0,3.0,2000-03-08,2000-03-09,2000-03-10,,10转增8股派3元（含税）,1999年报
2001-07-06,年度分红,,,0.95,2001-07-12,2001-07-13,2001-07-20,,10派0.95元(含税),2000年报
2002-05-31,年度分红,,,0.37,2002-06-05,2002-06-06,2002-06-13,,10派0.37元(含税),2001年报
2003-06-07,年度分红,,,0.6,2003-06-11,2003-06-12,2003-06-18,,10股派0.6元(含税),2002年报
2004-07-08,年度分红,,,0.8,2004-07-13,2004-07-14,2004-07-20,,10派0.8元(含税),2003年报
2005-06-17,年度分红,,,0.37,2005-06-22,2005-06-23,2005-06-28,,10派0.37元(含税),2004年报
2006-05-23,年度分红,,,0.22,2006-05-26,2006-05-29,2006-06-02,,10派0.22元(含税),2005年报
2007-07-09,年度分红,,,0.47,2007-07-12,2007-07-13,2007-07-18,,10派0.47元（含税）,2006年报
2008-06-26,年度分红,,,0.35,2008-07-01,2008-07-02,2008-07-07,,10派0.35元（含税）,2007年报
2012-06-12,年度分红,,,0.6,2012-06-15,2012-06-18,2012-06-21,,10派0.6元(含税),2011年报
2014-06-18,年度分红,,,0.625,2014-06-23,2014-06-24,2014-06-24,,10派0.625元(含税),2013年报
2015-06-18,年度分红,,,0.816,2015-06-24,2015-06-25,2015-06-25,,10派0.816元(含税),2014年报
2018-07-04,年度分红,,,0.985,2018-07-10,2018-07-11,2018-07-11,,10派0.985元(含税),2017年报
2020-06-22,年度分红,,,1.146,2020-06-29,2020-06-30,2020-06-30,,10派1.146元(含税),2019年报
2021-07-06,年度分红,,,1.805,2021-07-12,2021-07-13,2021-07-13,,10派1.805元(含税),2020年报
2022-06-21,年度分红,,,0.875,2022-06-27,2022-06-28,2022-06-28,,10派0.875元(含税),2021年报
2024-07-18,年度分红,,,0.3,2024-07-24,2024-07-25,2024-07-25,,10派0.3元(含税),2023年报
2026-06-11,年度分红,,,0.4,2026-06-17,2026-06-18,2026-06-18,,10派0.4元(含税),2025年报
