实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-08-17,中期分红,,6.0,4.0,2010-08-24,2010-08-25,2010-08-25,2010-08-25,10转增6股派4元（含税）,2010半年报
2011-04-30,年度分红,,3.0,3.0,2011-05-09,2011-05-10,2011-05-10,2011-05-10,10转增3股派3元(含税),2010年报
2012-05-12,年度分红,,,3.0,2012-05-17,2012-05-18,2012-05-18,,10派3元(含税),2011年报
2013-05-27,年度分红,,,3.0,2013-05-30,2013-05-31,2013-05-31,,10派3元(含税),2012年报
2014-03-27,年度分红,,5.0,3.0,2014-04-02,2014-04-03,2014-04-03,2014-04-03,10转增5股派3元(含税),2013年报
2015-05-22,年度分红,,,3.0,2015-05-28,2015-05-29,2015-05-29,,10派3元(含税),2014年报
2016-06-02,年度分红,,,3.022131,2016-06-07,2016-06-08,2016-06-08,,10派3.022131元(含税),2015年报
2017-06-14,年度分红,,,3.0,2017-06-20,2017-06-21,2017-06-21,,10派3元(含税),2016年报
2018-05-04,年度分红,,,3.0,2018-05-10,2018-05-11,2018-05-11,,10派3元（含税）,2017年报
2019-04-26,年度分红,,5.0,3.0,2019-05-07,2019-05-08,2019-05-08,2019-05-08,10转增5股派3元(含税),2018年报
2020-05-28,年度分红,,,2.0,2020-06-03,2020-06-04,2020-06-04,,10派2元(含税),2019年报
2021-05-28,年度分红,,,2.0,2021-06-02,2021-06-03,2021-06-03,,10派2元(含税),2020年报
2022-06-03,年度分红,,,2.0,2022-06-10,2022-06-13,2022-06-13,,10派2元(含税),2021年报
2023-05-17,年度分红,,,2.0,2023-05-23,2023-05-24,2023-05-24,,10派2元(含税),2022年报
2024-06-14,年度分红,,,2.0,2024-06-20,2024-06-21,2024-06-21,,10派2元(含税),2023年报
