实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-07-21,年度分红,0.0,0.0,2.0,1998-07-27,1998-07-28,1998-08-03,,10派2元(含税),1997年报
1999-05-28,年度分红,0.0,0.0,2.2,1999-06-03,1999-06-04,1999-06-10,,10派2.20元(含税),1998年报
1999-09-28,中期分红,2.0,3.0,0.5,1999-10-11,1999-10-12,,,10送2转增3股派0.5元（含税）,1999半年报
2001-06-06,年度分红,,,2.0,2001-06-11,2001-06-12,2001-06-13,,10派2元（含税）,2000年报
2002-05-28,年度分红,,,1.3,2002-06-03,2002-06-04,2002-06-04,,10派1.3元(含税),2001年报
2003-06-12,年度分红,,,1.0,2003-06-19,2003-06-20,2003-06-20,,10股派1元(含税),2002年报
2004-07-02,年度分红,0.0,0.0,1.0,2004-07-08,2004-07-09,2004-07-09,,10派1元(含税),2003年报
2006-06-14,年度分红,,,1.0,2006-06-19,2006-06-20,2006-06-20,,10派1元（含税）,2005年报
2007-06-26,年度分红,,,1.0,2007-06-29,2007-07-02,2007-07-02,,10派1元（含税）,2006年报
2008-06-13,年度分红,,,0.3,2008-06-19,2008-06-20,2008-06-20,,10派0.3元（含税）,2007年报
2011-05-25,年度分红,,,0.35,2011-05-31,2011-06-01,2011-06-01,,10派0.35元(含税),2010年报
2014-07-01,年度分红,,,0.1,2014-07-07,2014-07-08,2014-07-08,,10派0.1元(含税),2013年报
2016-06-22,年度分红,,,0.1,2016-06-28,2016-06-29,2016-06-29,,10派0.1元(含税),2015年报
2017-06-07,年度分红,,,0.2,2017-06-12,2017-06-13,2017-06-13,,10派0.2元(含税),2016年报
2018-07-04,年度分红,,,0.3,2018-07-09,2018-07-10,2018-07-10,,10派0.30元(含税),2017年报
2024-06-21,年度分红,,,0.87,2024-06-27,2024-06-28,2024-06-28,,10派0.87元(含税),2023年报
2025-07-01,年度分红,,,0.7,2025-07-07,2025-07-08,2025-07-08,,10派0.7元(含税),2024年报
