实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-05-31,年度分红,,,3.2,2012-06-06,2012-06-07,2012-06-07,,10派3.2元(含税),2011年报
2013-07-04,年度分红,,,12.2,2013-07-09,2013-07-10,2013-07-10,,10派12.2元(含税),2012年报
2014-05-28,年度分红,,,6.8,2014-06-04,2014-06-05,2014-06-05,,10派6.8元(含税),2013年报
2015-06-19,年度分红,,,4.0,2015-06-25,2015-06-26,2015-06-26,,10派4元(含税),2014年报
2015-09-22,中期分红,,15.0,,2015-09-25,2015-09-28,,2015-09-28,10转增15股,2015半年报
2016-07-07,年度分红,,,0.6,2016-07-13,2016-07-14,2016-07-14,,10派0.6元(含税),2015年报
2017-07-07,年度分红,,,0.5,2017-07-12,2017-07-13,2017-07-13,,10派0.5元(含税),2016年报
2018-07-20,年度分红,,,0.6,2018-07-25,2018-07-26,2018-07-26,,10派0.6元(含税),2017年报
2019-07-11,年度分红,,,0.6,2019-07-17,2019-07-18,2019-07-18,,10派0.6元(含税),2018年报
2020-07-09,年度分红,,,0.6,2020-07-15,2020-07-16,2020-07-16,,10派0.6元(含税),2019年报
2021-07-10,年度分红,,,1.0,2021-07-15,2021-07-16,2021-07-16,,10派1元(含税),2020年报
2021-09-24,中期分红,,,1.5,2021-09-29,2021-09-30,2021-09-30,,10派1.5元(含税),2021半年报
2022-07-07,年度分红,,,0.3,2022-07-12,2022-07-13,2022-07-13,,10派0.3元(含税),2021年报
2023-07-06,年度分红,,,0.4,2023-07-12,2023-07-13,2023-07-13,,10派0.4元(含税),2022年报
2024-07-04,年度分红,,,0.4,2024-07-09,2024-07-10,2024-07-10,,10派0.4元(含税),2023年报
2025-07-09,年度分红,,,0.6,2025-07-16,2025-07-17,2025-07-17,,10派0.6元(含税),2024年报
