实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-04-21,年度分红,,,3.0,2011-04-27,2011-04-28,2011-04-28,,10派3元(含税),2010年报
2012-04-21,年度分红,,5.0,3.0,2012-04-27,2012-05-02,2012-05-02,2012-05-02,10转增5股派3元(含税),2011年报
2013-06-28,年度分红,,,3.0,2013-07-04,2013-07-05,2013-07-05,,10派3元(含税),2012年报
2014-05-08,年度分红,,,2.0,2014-05-13,2014-05-14,2014-05-14,,10派2元(含税),2013年报
2014-09-10,中期分红,,12.0,2.0,2014-09-15,2014-09-16,2014-09-16,2014-09-16,10转增12股派2元(含税),2014半年报
2015-05-08,年度分红,,,1.0,2015-05-13,2015-05-14,2015-05-14,,10派1元(含税),2014年报
2016-05-26,年度分红,,,1.5,2016-05-31,2016-06-01,2016-06-01,,10派1.5元(含税),2015年报
2017-06-03,年度分红,,,1.5,2017-06-08,2017-06-09,2017-06-09,,10派1.5元(含税),2016年报
2018-05-22,年度分红,,,1.0,2018-05-25,2018-05-28,2018-05-28,,10派1元(含税),2017年报
2020-06-06,年度分红,,3.0,0.2,2020-06-12,2020-06-15,2020-06-15,2020-06-15,10转增3股派0.2元(含税),2019年报
2021-06-18,年度分红,,,0.3,2021-06-24,2021-06-25,2021-06-25,,10派0.3元(含税),2020年报
