实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-06-14,年度分红,3.0,,3.0,2003-06-18,2003-06-19,2003-06-24,,10送3股派3元(含税),2002年报
2005-06-23,年度分红,,5.0,1.0,2005-06-28,2005-06-29,2005-07-04,,10转增5股派1元(含税),2004年报
2006-07-06,年度分红,1.8,,,2006-07-11,2006-07-12,,,10送1.8股,2005年报
2008-04-23,年度分红,,10.0,0.5,2008-04-28,2008-04-29,2008-05-07,,10转增10股派0.5元（含税）,2007年报
2010-06-23,年度分红,,,0.6,2010-06-28,2010-06-29,2010-07-02,,10派0.6元（含税）,2009年报
2011-05-30,年度分红,,10.0,,2011-06-02,2011-06-03,,2011-06-02,10转增10股,2010年报
2012-07-11,年度分红,,,0.25,2012-07-16,2012-07-17,2012-07-20,,10派0.25元(含税),2011年报
2018-06-27,年度分红,,,0.6,2018-07-02,2018-07-03,2018-07-03,,10派0.6元(含税),2017年报
2019-07-12,年度分红,,,0.6,2019-07-18,2019-07-19,2019-07-19,,10派0.6元(含税),2018年报
2020-07-08,年度分红,,,0.3,2020-07-14,2020-07-15,2020-07-15,,10派0.3元(含税),2019年报
2021-06-23,年度分红,,,0.3,2021-06-28,2021-06-29,2021-06-29,,10派0.3元(含税),2020年报
2022-06-30,年度分红,,,2.81,2022-07-05,2022-07-06,2022-07-06,,10派2.81元(含税),2021年报
2023-05-30,年度分红,,,0.3,2023-06-05,2023-06-06,2023-06-06,,10派0.3元(含税),2022年报
2024-05-30,年度分红,,,1.0,2024-06-04,2024-06-05,2024-06-05,,10派1元(含税),2023年报
2025-06-11,年度分红,,,0.15,2025-06-17,2025-06-18,2025-06-18,,10派0.15元(含税),2024年报
