实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-12,年度分红,,,4.0,2017-05-17,2017-05-18,2017-05-18,,10派4元(含税),2016年报
2018-06-29,年度分红,,,6.0,2018-07-05,2018-07-06,2018-07-06,,10派6元(含税),2017年报
2019-06-28,年度分红,,,5.0,2019-07-03,2019-07-04,2019-07-04,,10派5元(含税),2018年报
2020-05-28,年度分红,,,8.0,2020-06-02,2020-06-03,2020-06-03,,10派8元(含税),2019年报
2021-06-05,年度分红,,,4.5,2021-06-10,2021-06-11,2021-06-11,,10派4.5元(含税),2020年报
2022-08-13,年度分红,,,2.2,2022-08-18,2022-08-19,2022-08-19,,10派2.2元(含税),2021年报
2024-05-25,年度分红,,,1.8,2024-05-30,2024-05-31,2024-05-31,,10派1.8元(含税),2023年报
2025-05-24,年度分红,,,3.94,2025-05-29,2025-05-30,2025-05-30,,10派3.94元(含税),2024年报
2025-10-24,中期分红,,,1.5,2025-10-29,2025-10-30,2025-10-30,,10派1.5元(含税),2025半年报
2026-05-12,年度分红,,,3.926,2026-05-15,2026-05-18,2026-05-18,,10派3.926元(含税),2025年报
