实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2021-05-17,年度分红,,,6.0,2021-05-21,2021-05-24,2021-05-24,,10派6元(含税),2020年报
2022-05-13,年度分红,,,5.0,2022-05-18,2022-05-19,2022-05-19,,10派5元(含税),2021年报
2023-05-18,年度分红,,,5.0,2023-05-24,2023-05-25,2023-05-25,,10派5元(含税),2022年报
2024-05-18,年度分红,,3.0,3.0,2024-05-24,2024-05-27,2024-05-27,2024-05-27,10转增3股派3元(含税),2023年报
2024-09-02,中期分红,,,3.5,2024-09-06,2024-09-09,2024-09-09,,10派3.5元(含税),2024半年报
2025-01-03,季度分红,,,1.5,2025-01-09,2025-01-10,2025-01-10,,10派1.5元(含税),2024三季报
2025-05-07,年度分红,,,5.0,2025-05-13,2025-05-14,2025-05-14,,10派5元(含税),2024年报
2025-08-19,中期分红,,,3.0,2025-08-25,2025-08-26,2025-08-26,,10派3元(含税),2025半年报
2025-11-21,季度分红,,,2.0,2025-11-27,2025-11-28,2025-11-28,,10派2元(含税),2025三季报
2026-05-26,年度分红,,,5.0,2026-06-02,2026-06-03,2026-06-03,,10派5元(含税),2025年报
