实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2018-05-16,年度分红,,8.0,8.0,2018-05-23,2018-05-24,2018-05-24,2018-05-24,10转增8股派8元(含税),2017年报
2019-05-17,年度分红,,4.0,4.0,2019-05-24,2019-05-27,2019-05-27,2019-05-27,10转增4股派4元(含税),2018年报
2020-05-20,年度分红,,,4.0,2020-05-27,2020-05-28,2020-05-28,,10派4元(含税),2019年报
2021-05-21,年度分红,,,4.600037,2021-05-27,2021-05-28,2021-05-28,,10派4.600037元(含税),2020年报
2022-05-24,年度分红,,,4.5,2022-05-31,2022-06-01,2022-06-01,,10派4.5元(含税),2021年报
2023-05-25,年度分红,,2.0,4.6,2023-05-31,2023-06-01,2023-06-01,2023-06-01,10转增2股派4.6元(含税),2022年报
2024-05-22,年度分红,,,5.6,2024-05-29,2024-05-30,2024-05-30,,10派5.6元(含税),2023年报
2024-09-27,中期分红,,,2.0,2024-10-10,2024-10-11,2024-10-11,,10派2元(含税),2024半年报
2025-05-23,年度分红,,4.0,3.2,2025-05-29,2025-05-30,2025-05-30,2025-05-30,10转增4股派3.2元(含税),2024年报
2025-09-16,中期分红,,,1.5,2025-09-22,2025-09-23,2025-09-23,,10派1.5元(含税),2025半年报
2026-05-26,年度分红,,3.0,2.0,2026-06-02,2026-06-03,2026-06-03,2026-06-03,10转增3股派2元(含税),2025年报
