实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-05-07,年度分红,,,2.0,2008-05-12,2008-05-13,2008-05-13,,10派2元（含税）,2007年报
2009-05-13,年度分红,,,2.2,2009-05-19,2009-05-20,2009-05-20,,10派2.2元（含税）,2008年报
2010-05-19,年度分红,,10.0,3.0,2010-05-24,2010-05-25,2010-05-25,2010-05-25,10转增10股派3元（含税）,2009年报
2011-05-11,年度分红,,5.0,3.3,2011-05-17,2011-05-18,2011-05-18,2011-05-18,10转增5股派3.3元(含税),2010年报
2012-05-18,年度分红,,,4.0,2012-05-23,2012-05-24,2012-05-24,,10派4元(含税),2011年报
2013-05-22,年度分红,,,1.7,2013-05-27,2013-05-28,2013-05-28,,10派1.7元(含税),2012年报
2014-04-09,年度分红,,,2.2,2014-04-15,2014-04-16,2014-04-16,,10派2.2元(含税),2013年报
2015-03-10,年度分红,,,3.0,2015-03-16,2015-03-17,2015-03-17,,10派3元(含税),2014年报
2016-05-17,年度分红,,,4.2,2016-05-23,2016-05-24,2016-05-24,,10派4.2元(含税),2015年报
2017-05-04,年度分红,,15.0,5.0,2017-05-09,2017-05-10,2017-05-10,2017-05-10,10转增15股派5元（含税）,2016年报
2018-08-28,中期分红,,,2.0,2018-09-04,2018-09-05,2018-09-05,,10派2元(含税),2018半年报
2019-05-07,年度分红,,,2.0,2019-05-10,2019-05-13,2019-05-13,,10派2元(含税),2018年报
2020-06-24,年度分红,,,1.0,2020-07-02,2020-07-03,2020-07-03,,10派1元(含税),2019年报
2021-04-26,年度分红,,,2.0,2021-04-29,2021-04-30,2021-04-30,,10派2元(含税),2020年报
2022-05-18,年度分红,,,1.0,2022-05-25,2022-05-26,2022-05-26,,10派1元(含税),2021年报
2023-04-25,年度分红,,,1.5,2023-05-04,2023-05-05,2023-05-05,,10派1.5元(含税),2022年报
2024-05-24,年度分红,,,1.5,2024-05-30,2024-05-31,2024-05-31,,10派1.5元(含税),2023年报
2025-05-16,年度分红,,,1.8,2025-05-22,2025-05-23,2025-05-23,,10派1.8元(含税),2024年报
2026-05-13,年度分红,,,2.0,2026-05-20,2026-05-21,2026-05-21,,10派2元(含税),2025年报
