实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-11-14,中期分红,0.0,0.0,3.077,1998-11-19,1998-11-20,1998-11-26,,10派3.077元(含税),1998半年报
1999-07-13,年度分红,0.0,0.0,2.0,1999-07-19,1999-07-20,1999-07-26,,10派2元(含税),1998年报
2000-04-15,年度分红,,,2.0,2000-04-19,2000-04-20,2000-04-21,,10派2元（含税）,1999年报
2001-06-16,年度分红,,,2.0,2001-06-21,2001-06-22,2001-06-25,,10派2元（含税）,2000年报
2002-05-23,年度分红,,,4.0,2002-05-29,2002-05-30,2002-05-30,,10派4元(含税),2001年报
2003-09-11,中期分红,,5.0,3.0,2003-09-16,2003-09-17,2003-09-17,2003-09-17,10转增5股派3元(含税),2003半年报
2004-06-11,年度分红,,,3.0,2004-06-17,2004-06-18,2004-06-18,,10派3元（含税）,2003年报
2005-07-14,年度分红,,6.0,2.0,2005-07-19,2005-07-20,2005-07-20,,10转增6股派2元(含税),2004年报
2006-06-23,年度分红,,,0.5,2006-06-29,2006-06-30,2006-06-30,,10派0.5元（含税）,2005年报
2007-06-22,年度分红,,,0.5,2007-06-27,2007-06-28,2007-06-28,,10派0.5元（含税）,2006年报
2008-06-11,年度分红,,,0.5,2008-06-16,2008-06-17,2008-06-17,,10派0.5元（含税）,2007年报
2020-05-20,年度分红,,,1.5,2020-05-26,2020-05-27,2020-05-27,,10派1.5元(含税),2019年报
2021-06-03,年度分红,,,2.0,2021-06-08,2021-06-09,2021-06-09,,10派2元(含税),2020年报
2022-06-17,年度分红,,,2.0,2022-06-23,2022-06-24,2022-06-24,,10派2元(含税),2021年报
2023-06-03,年度分红,,,0.3,2023-06-08,2023-06-09,2023-06-09,,10派0.3元(含税),2022年报
