实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-02,年度分红,,20.0,6.0,2017-05-08,2017-05-09,2017-05-09,,10转增20股派6元(含税),2016年报
2018-05-31,年度分红,,,5.0,2018-06-07,2018-06-08,2018-06-08,,10派5元(含税),2017年报
2019-05-14,年度分红,,,3.0,2019-05-17,2019-05-20,2019-05-20,,10派3元(含税),2018年报
2020-05-21,年度分红,,,5.0,2020-05-26,2020-05-27,2020-05-27,,10派5元(含税),2019年报
2021-06-29,年度分红,,,3.5,2021-07-05,2021-07-06,2021-07-06,,10派3.5元(含税),2020年报
2022-05-13,年度分红,,,5.0,2022-05-18,2022-05-19,2022-05-19,,10派5元(含税),2021年报
2023-05-19,年度分红,,,3.2,2023-05-24,2023-05-25,2023-05-25,,10派3.2元(含税),2022年报
2024-05-16,年度分红,,,3.2,2024-05-22,2024-05-23,2024-05-23,,10派3.2元(含税),2023年报
2025-05-16,年度分红,,,2.1,2025-05-22,2025-05-23,2025-05-23,,10派2.1元(含税),2024年报
2026-05-26,年度分红,,,3.0,2026-05-29,2026-06-01,2026-06-01,,10派3元(含税),2025年报
