实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1997-05-15,年度分红,4.0,6.0,0.0,1997-05-21,1997-05-22,,,10送4转增6股,1996年报
1998-09-22,中期分红,8.0,0.0,0.0,1998-09-25,1998-09-28,,,10送8股,1998半年报
1999-09-28,中期分红,6.0,4.0,,1999-10-08,1999-10-11,,,10送6转增4股,1999半年报
2000-05-18,年度分红,2.5,3.5,,2000-05-23,2000-05-24,,,10送2.5转增3.5股,1999年报
2001-06-19,年度分红,,,2.0,2001-06-26,2001-06-27,2001-06-28,,10派2元（含税）,2000年报
2006-10-12,股改分红,,1.0,,2006-10-13,,,,10转增1股,
2014-06-06,年度分红,,,0.2,2014-06-12,2014-06-13,2014-06-13,,10派0.2元(含税),2013年报
2020-06-24,年度分红,,,0.38,2020-07-02,2020-07-03,2020-07-03,,10派0.38元(含税),2019年报
2022-07-05,年度分红,,,0.6,2022-07-08,2022-07-11,2022-07-11,,10派0.6元(含税),2021年报
2023-07-05,年度分红,,,0.75,2023-07-10,2023-07-11,2023-07-11,,10派0.75元(含税),2022年报
2024-07-03,年度分红,,,0.8,2024-07-08,2024-07-09,2024-07-09,,10派0.8元(含税),2023年报
2024-12-03,季度分红,,,0.37,2024-12-09,2024-12-10,2024-12-10,,10派0.37元(含税),2024三季报
2025-07-02,年度分红,,,0.45,2025-07-08,2025-07-09,2025-07-09,,10派0.45元(含税),2024年报
2025-09-04,中期分红,,,0.37,2025-09-09,2025-09-10,2025-09-10,,10派0.37元(含税),2025半年报
2026-07-01,年度分红,,,0.5,2026-07-07,2026-07-08,2026-07-08,,10派0.5元(含税),2025年报
