实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2000-07-11,年度分红,,,2.4,2000-07-17,2000-07-18,2000-07-19,,10派2.4元（含税）,1999年报
2001-07-17,年度分红,,,1.0,2001-07-23,2001-07-24,2001-07-25,,10派1元（含税）,2000年报
2002-06-27,年度分红,,,0.16,2002-07-03,2002-07-04,2002-07-04,,10派0.16元(含税),2001年报
2003-06-05,年度分红,,,0.12,2003-06-12,2003-06-13,2003-06-13,,10派0.12元（含税）,2002年报
2004-06-04,年度分红,,,0.4,2004-06-11,2004-06-14,2004-06-14,,10派0.4元（含税）,2003年报
2004-10-09,中期分红,0.0,5.0,0.0,2004-10-15,2004-10-18,,,10转增5股,2004半年报
2005-06-03,年度分红,0.0,0.0,2.0,2005-06-09,2005-06-10,2005-06-10,,10派2元(含税),2004年报
2006-05-10,年度分红,,,2.5,2006-05-16,2006-05-17,2006-05-17,,10派2.5元（含税）,2005年报
2007-04-24,年度分红,,0.0,2.0,2007-04-27,2007-04-30,2007-04-30,,10派2元（含税）,2006年报
2008-04-23,年度分红,1.0,1.0,1.0,2008-04-28,2008-04-29,2008-04-29,2008-04-29,10送1转增1股派1元（含税）,2007年报
2009-06-17,年度分红,,,0.2,2009-06-22,2009-06-23,2009-06-23,,10派0.2元（含税）,2008年报
2010-05-20,年度分红,,,0.8116,2010-05-25,2010-05-26,2010-05-26,,10派0.811630元（含税）,2009年报
2011-06-15,年度分红,,1.0,1.2,2011-06-20,2011-06-21,2011-06-21,2011-06-21,10转增1股派1.2元(含税),2010年报
2012-06-18,年度分红,,,1.3,2012-06-21,2012-06-25,2012-06-25,,10派1.3元(含税),2011年报
2013-07-29,年度分红,,,0.2,2013-08-01,2013-08-02,2013-08-02,,10派0.2元（含税）,2012年报
2022-05-11,年度分红,,,1.1,2022-05-16,2022-05-17,2022-05-17,,10派1.1元(含税),2021年报
2023-05-06,年度分红,,,1.2,2023-05-12,2023-05-15,2023-05-15,,10派1.2元(含税),2022年报
2024-05-15,年度分红,,,2.6,2024-05-21,2024-05-22,2024-05-22,,10派2.6元(含税),2023年报
2025-01-17,季度分红,,,1.0,2025-01-22,2025-01-23,2025-01-23,,10派1元(含税),2024三季报
2025-04-29,年度分红,,,1.9,2025-05-09,2025-05-12,2025-05-12,,10派1.9元(含税),2024年报
2026-01-20,季度分红,,,1.1,2026-01-26,2026-01-27,2026-01-27,,10派1.1元(含税),2025三季报
2026-04-23,年度分红,,,2.5,2026-04-29,2026-04-30,2026-04-30,,10派2.5元(含税),2025年报
