实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-12-03,年度分红,0.0,0.0,2.3,1994-12-09,1994-12-12,,,10派2.3元（含税）,1993年报
1995-11-22,年度分红,0.0,0.0,1.5,1995-11-27,1995-11-28,,,10派1.50元(含税),1994年报
1996-08-24,年度分红,0.0,0.0,1.5,1996-08-28,1996-08-29,,,10派1.50元(含税),1995年报
1997-04-18,年度分红,3.0,0.0,0.0,1997-04-23,1997-04-24,,,10送3股,1996年报
1998-06-16,年度分红,0.0,0.0,1.2,1998-06-19,1998-06-22,,,10派1.2元(含税),1997年报
2000-07-19,年度分红,,,1.2,2000-07-24,2000-07-25,2000-07-26,,10派1.2元（含税）,1999年报
2001-06-08,年度分红,,,1.5,2001-06-14,2001-06-15,2001-06-21,,10派1.5元(含税),2000年报
2002-07-08,年度分红,,2.0,1.0,2002-07-11,2002-07-12,2002-07-18,,10转增2股派1元(含税),2001年报
2003-07-11,年度分红,,5.0,1.2,2003-07-16,2003-07-17,2003-07-23,,10转增5派1.2元(含税),2002年报
2004-08-09,年度分红,,3.0,1.0,2004-08-12,2004-08-13,2004-08-25,2004-08-13,10转增3股派1元(含税),2003年报
2008-07-25,年度分红,,,1.0,2008-07-30,2008-07-31,2008-08-06,,10派1元（含税）,2007年报
2009-07-21,年度分红,,,5.9,2009-07-24,2009-07-27,2009-08-03,,10派5.9元（含税）,2008年报
2010-06-03,年度分红,,,4.9,2010-06-08,2010-06-09,2010-06-18,,10派4.9元（含税）,2009年报
2011-07-25,年度分红,,3.0,5.8,2011-07-29,2011-08-01,2011-08-05,2011-08-02,10转增3股派5.8元(含税),2010年报
2014-08-19,年度分红,,,0.66,2014-08-25,2014-08-26,2014-08-26,,10派0.66元(含税),2013年报
2015-11-06,中期分红,,,10.0,2015-11-12,2015-11-13,2015-11-13,,10派10元（含税）,2015半年报
2016-03-30,年度分红,,3.0,,2016-04-05,2016-04-06,,,10转增3股,2015年报
2017-04-06,年度分红,,,5.0,2017-04-12,2017-04-13,2017-04-13,,10派5元(含税),2016年报
2018-04-25,年度分红,,,5.0,2018-05-03,2018-05-04,2018-05-04,,10派5元(含税),2017年报
