实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-04-25,年度分红,,,0.4,2008-04-30,2008-05-05,2008-05-05,,10派0.4元（含税）,2007年报
2008-08-21,中期分红,,10.0,,2008-08-28,2008-08-29,,2008-08-29,10转增10股,2008半年报
2009-04-02,年度分红,,,1.5,2009-04-08,2009-04-09,2009-04-09,,10派1.5元（含税）,2008年报
2009-08-25,中期分红,,4.0,,2009-08-28,2009-08-31,,2009-08-31,10转增4股,2009半年报
2010-06-21,年度分红,,2.0,1.5,2010-06-24,2010-06-25,2010-06-25,2010-06-25,10转增2股派1.5元（含税）,2009年报
2012-05-04,年度分红,2.0,1.0,2.0,2012-05-11,2012-05-14,2012-05-14,2012-05-14,10送2转增1股派2元(含税),2011年报
2013-05-13,年度分红,,,1.5,2013-05-17,2013-05-20,2013-05-20,,10派1.5元(含税),2012年报
2014-05-21,年度分红,,,1.0,2014-05-27,2014-05-28,2014-05-28,,10派1元(含税),2013年报
2015-04-23,年度分红,,,1.0,2015-04-29,2015-04-30,2015-04-30,,10派1元(含税),2014年报
2016-06-20,年度分红,,5.0,1.5,2016-06-24,2016-06-27,2016-06-27,2016-06-27,10转增5股派1.5元(含税),2015年报
2017-04-18,年度分红,,5.0,1.5,2017-04-21,2017-04-24,2017-04-24,2017-04-24,10转增5股派1.5元(含税),2016年报
2018-05-18,年度分红,,5.0,1.0,2018-05-23,2018-05-24,2018-05-24,2018-05-24,10转增5股派1元(含税),2017年报
2019-05-22,年度分红,,,1.006033,2019-05-28,2019-05-29,2019-05-29,,10派1.006033元(含税),2018年报
2020-05-26,年度分红,,,0.5,2020-06-01,2020-06-02,2020-06-02,,10派0.5元(含税),2019年报
2021-04-02,年度分红,,,0.5,2021-04-08,2021-04-09,2021-04-09,,10派0.5元(含税),2020年报
2022-04-22,年度分红,,,0.5,2022-04-28,2022-04-29,2022-04-29,,10派0.5元(含税),2021年报
2023-04-26,年度分红,,,0.6,2023-05-04,2023-05-05,2023-05-05,,10派0.6元(含税),2022年报
2024-05-06,年度分红,,,0.6,2024-05-09,2024-05-10,2024-05-10,,10派0.6元(含税),2023年报
2025-05-08,年度分红,,,0.7,2025-05-13,2025-05-14,2025-05-14,,10派0.7元(含税),2024年报
2026-05-08,年度分红,,,0.7,2026-05-13,2026-05-14,2026-05-14,,10派0.7元(含税),2025年报
