实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2016-06-08,年度分红,,29.08728,4.84788,2016-06-16,2016-06-17,2016-06-17,2016-06-17,10转增29.08728股派4.84788元(含税),2015年报
2017-04-20,年度分红,,,0.700298,2017-04-26,2017-04-27,2017-04-27,,10派0.700298元(含税),2016年报
2018-06-01,年度分红,,,0.80051,2018-06-07,2018-06-08,2018-06-08,,10派0.80051元(含税),2017年报
2019-06-19,年度分红,,,0.900525,2019-06-25,2019-06-26,2019-06-26,,10派0.900525元(含税),2018年报
2020-03-30,年度分红,,,1.3,2020-04-07,2020-04-08,2020-04-08,,10派1.3元(含税),2019年报
2021-04-13,年度分红,,,2.2,2021-04-19,2021-04-20,2021-04-20,,10派2.2元(含税),2020年报
2022-03-31,年度分红,,,3.05,2022-04-11,2022-04-12,2022-04-12,,10派3.05元(含税),2021年报
2023-03-23,年度分红,,,3.37,2023-03-29,2023-03-30,2023-03-30,,10派3.37元(含税),2022年报
2024-04-12,年度分红,,,2.49,2024-04-18,2024-04-19,2024-04-19,,10派2.49元(含税),2023年报
2024-09-14,中期分红,,,1.25,2024-09-23,2024-09-24,2024-09-24,,10派1.25元(含税),2024半年报
2025-05-22,年度分红,,,0.58,2025-05-28,2025-05-29,2025-05-29,,10派0.58元(含税),2024年报
2026-05-14,年度分红,,,1.85,2026-05-20,2026-05-21,2026-05-21,,10派1.85元(含税),2025年报
