实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-04-27,年度分红,,1.5,1.0,2007-05-10,2007-05-11,2007-05-11,,10转增1.5股派1元（含税）,2006年报
2008-09-18,中期分红,,,1.0,2008-09-23,2008-09-24,2008-09-24,,10派1元（含税）,2008半年报
2009-05-16,年度分红,,,1.32,2009-05-21,2009-05-22,2009-05-22,,10派1.32元（含税）,2008年报
2010-05-12,年度分红,,,1.5,2010-05-17,2010-05-18,2010-05-18,,10派1.5元（含税）,2009年报
2011-06-18,年度分红,,,1.5,2011-06-23,2011-06-24,2011-06-24,,10派1.5元(含税),2010年报
2012-06-26,年度分红,,,1.0,2012-07-02,2012-07-03,2012-07-03,,10派1元(含税),2011年报
2013-06-28,年度分红,,,0.5,2013-07-04,2013-07-05,2013-07-05,,10派0.5元(含税),2012年报
2014-06-21,年度分红,,,0.5,2014-06-26,2014-06-27,2014-06-27,,10派0.5元(含税),2013年报
2015-05-06,年度分红,,,1.0,2015-05-11,2015-05-12,2015-05-12,,10派1元(含税),2014年报
2016-05-12,年度分红,,5.0,1.5,2016-05-17,2016-05-18,2016-05-18,2016-05-18,10转增5股派1.5元(含税),2015年报
2017-06-01,年度分红,,2.0,1.0,2017-06-07,2017-06-08,2017-06-08,2017-06-08,10转增2股派1元(含税),2016年报
2018-05-09,年度分红,,,0.3,2018-05-15,2018-05-16,2018-05-16,,10派0.3元（含税）,2017年报
