实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-05-23,年度分红,1.0,3.0,0.0,1998-05-28,1998-05-29,,,10送1转增3股,1997年报
1999-06-18,年度分红,,,1.7,1999-06-24,1999-06-25,1999-06-26,,10派1.7元（含税）,1998年报
2001-06-02,年度分红,,,1.2,2001-06-07,2001-06-08,2001-06-15,,10派1.2元(含税),2000年报
2002-05-25,年度分红,,,1.0,2002-05-30,2002-05-31,2002-06-06,,10派1元(含税),2001年报
2003-05-20,年度分红,,,0.5,2003-05-26,2003-05-27,2003-06-03,,10股派0.5元(含税),2002年报
2007-05-30,年度分红,,,0.5,2007-06-04,2007-06-05,2007-06-12,,10派0.5元（含税）,2006年报
2008-05-09,年度分红,5.0,5.0,1.0,2008-05-14,2008-05-15,2008-05-21,2008-05-16,10送5转增5股派1元（含税）,2007年报
2010-05-25,年度分红,,,0.5,2010-05-28,2010-05-31,2010-06-04,,10派0.5元（含税）,2009年报
2011-05-06,年度分红,5.0,,1.0,2011-05-11,2011-05-12,2011-05-19,2011-05-13,10送5股派1元(含税),2010年报
2012-04-25,年度分红,10.0,,3.5,2012-05-03,2012-05-04,2012-05-09,2012-05-07,10送10股派3.5元(含税),2011年报
2013-05-10,年度分红,,,2.0,2013-05-15,2013-05-16,2013-05-21,,10派2元(含税),2012年报
2014-05-13,年度分红,,,2.0,2014-05-16,2014-05-19,2014-05-22,,10派2元(含税),2013年报
2015-05-05,年度分红,5.0,,1.25,2015-05-08,2015-05-11,2015-05-11,2015-05-12,10送5股派1.25元(含税),2014年报
2016-06-16,年度分红,,,0.3,2016-06-21,2016-06-22,2016-06-22,,10派0.3元(含税),2015年报
2017-05-26,年度分红,,,0.1,2017-06-05,2017-06-06,2017-06-06,,10派0.1元(含税),2016年报
2018-06-20,年度分红,,,0.35,2018-06-26,2018-06-27,2018-06-27,,10派0.35元(含税),2017年报
2019-06-11,年度分红,,,0.5,2019-06-17,2019-06-18,2019-06-18,,10派0.5元(含税),2018年报
2021-06-17,年度分红,,,0.7,2021-06-23,2021-06-24,2021-06-24,,10派0.7元(含税),2020年报
2022-06-21,年度分红,,,4.45,2022-06-27,2022-06-28,2022-06-28,,10派4.45元(含税),2021年报
2023-06-21,年度分红,,,1.7,2023-06-29,2023-06-30,2023-06-30,,10派1.7元(含税),2022年报
2024-06-14,年度分红,,,0.7,2024-06-20,2024-06-21,2024-06-21,,10派0.7元(含税),2023年报
2025-06-13,年度分红,,,0.35,2025-06-19,2025-06-20,2025-06-20,,10派0.35元(含税),2024年报
2026-06-03,年度分红,,,1.3,2026-06-10,2026-06-11,2026-06-11,,10派1.3元(含税),2025年报
