实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-06-29,年度分红,,,3.0,2010-07-06,2010-07-07,2010-07-07,,10派3元（含税）,2009年报
2011-06-02,年度分红,,8.0,,2011-06-09,2011-06-10,,2011-06-10,10转增8股,2010年报
2013-07-11,年度分红,,,1.0,2013-07-17,2013-07-18,2013-07-18,,10派1元(含税),2012年报
2015-04-22,年度分红,,18.0,1.0,2015-04-28,2015-04-29,2015-04-29,2015-04-29,10转增18股派1元(含税),2014年报
2016-06-17,年度分红,,,0.6,2016-06-23,2016-06-24,2016-06-24,,10派0.6元(含税),2015年报
2018-06-14,年度分红,,,1.0,2018-06-21,2018-06-22,2018-06-22,,10派1元(含税),2017年报
2019-08-14,年度分红,,,1.5,2019-08-19,2019-08-20,2019-08-20,,10派1.5元(含税),2018年报
2019-09-24,承诺补偿,,1.206188,,2019-09-27,2019-09-30,,2019-09-30,10转增1.206188股,
2022-05-17,年度分红,,,1.0,2022-05-23,2022-05-24,2022-05-24,,10派1元(含税),2021年报
2023-05-18,年度分红,,,1.0,2023-05-24,2023-05-25,2023-05-25,,10派1元(含税),2022年报
