实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2015-10-15,中期分红,,,3.0,2015-10-21,2015-10-22,2015-10-22,,10派3元(含税),2015半年报
2016-05-10,年度分红,,10.0,,2016-05-16,2016-05-17,,2016-05-17,10转增10股,2015年报
2017-05-09,年度分红,,,1.5,2017-05-15,2017-05-16,2017-05-16,,10派1.5元(含税),2016年报
2018-07-06,年度分红,,8.0,5.0,2018-07-12,2018-07-13,2018-07-13,2018-07-13,10转增8股派5元(含税),2017年报
2019-06-03,年度分红,,,2.2,2019-06-10,2019-06-11,2019-06-11,,10派2.2元(含税),2018年报
2020-05-08,年度分红,,,2.5,2020-05-14,2020-05-15,2020-05-15,,10派2.5元(含税),2019年报
2021-05-19,年度分红,,3.0,5.0,2021-05-25,2021-05-26,2021-05-26,2021-05-26,10转增3股派5元(含税),2020年报
2022-06-08,年度分红,,,3.0,2022-06-13,2022-06-14,2022-06-14,,10派3元(含税),2021年报
2023-05-11,年度分红,,,5.0,2023-05-17,2023-05-18,2023-05-18,,10派5元(含税),2022年报
2024-05-29,年度分红,,,4.0,2024-06-04,2024-06-05,2024-06-05,,10派4元(含税),2023年报
2025-05-14,年度分红,,,4.0,2025-05-19,2025-05-20,2025-05-20,,10派4元(含税),2024年报
2026-05-25,年度分红,,,2.2,2026-06-01,2026-06-02,2026-06-02,,10派2.2元(含税),2025年报
