实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1995-03-21,年度分红,5.0,0.0,1.0,1995-03-24,1995-03-27,,,10送5股派1元,1994年报
1996-04-17,年度分红,4.0,0.0,1.0,1996-04-19,1996-04-22,,,10送4股派1元,1995年报
1996-09-06,中期分红,0.0,3.0,0.0,1996-09-11,1996-09-12,,,10转增3股,1996半年报
1997-03-29,年度分红,4.2,3.8,0.0,1997-04-03,1997-04-04,,,10送4.2转增3.8股,1996年报
1998-03-31,年度分红,3.6,0.0,0.0,1998-04-06,1998-04-07,,,10送3.6股,1997年报
1999-04-24,年度分红,2.0,4.0,0.5,1999-04-29,1999-04-30,,,10送2转增4股派0.5元,1998年报
2001-05-26,年度分红,2.0,,0.5,2001-05-31,2001-06-01,2001-06-18,,10送2股派0.5元（含税）,2000年报
2002-05-14,年度分红,1.0,,1.0,2002-05-17,2002-05-20,2002-05-24,,10送1股派1元(含税),2001年报
2003-04-15,年度分红,0.4,,1.1,2003-04-18,2003-04-21,2003-04-25,,10送0.4股派1.1元(含税),2002年报
2004-05-15,年度分红,1.0,,0.25,2004-05-19,2004-05-20,2004-05-26,,10送1股派0.25元(含税),2003年报
2006-08-18,股改分红,,4.9,,2006-08-21,2006-08-22,,,10转增4.90股,
2014-04-15,年度分红,,,0.05,2014-04-21,2014-04-22,2014-04-25,,10派0.05元(含税),2013年报
2017-04-14,年度分红,,,0.15,2017-04-19,2017-04-20,2017-04-20,,10派0.15元(含税),2016年报
2018-05-21,年度分红,,,0.2,2018-05-24,2018-05-25,2018-05-25,,10派0.2元(含税),2017年报
2019-06-22,年度分红,,,0.04,2019-06-27,2019-06-28,2019-06-28,,10派0.04元(含税),2018年报
2020-04-27,年度分红,,,0.1,2020-04-30,2020-05-06,2020-05-06,,10派0.1元(含税),2019年报
2021-06-29,年度分红,,,0.06,2021-07-05,2021-07-06,2021-07-06,,10派0.06元(含税),2020年报
2022-06-18,年度分红,,,0.02,2022-06-23,2022-06-24,2022-06-24,,10派0.02元(含税),2021年报
2023-06-28,年度分红,,,0.1,2023-07-05,2023-07-06,2023-07-06,,10派0.1元(含税),2022年报
