实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2004-05-21,年度分红,,,1.5,2004-05-26,2004-05-27,2004-06-02,,10派1.5元(含税),2003年报
2005-03-26,年度分红,,,1.8,2005-04-01,2005-04-04,2005-04-08,,10派1.8元(含税),2004年报
2006-04-12,年度分红,,,2.8,2006-04-17,2006-04-18,2006-04-24,,10派2.8元(含税),2005年报
2006-09-15,中期分红,,8.0,,2006-09-20,2006-09-21,,,10转增8股,2006半年报
2007-03-19,年度分红,,,0.5,2007-03-22,2007-03-23,2007-03-29,,10派0.5元（含税）,2006年报
2008-05-07,年度分红,,,0.5,2008-05-12,2008-05-13,2008-05-19,,10派0.5元（含税）,2007年报
2010-04-20,年度分红,,,1.0,2010-04-23,2010-04-26,2010-04-30,,10派1元（含税）,2009年报
2011-04-18,年度分红,,,1.0,2011-04-21,2011-04-22,2011-04-27,,10派1元(含税),2010年报
2012-04-27,年度分红,,,0.5,2012-05-07,2012-05-08,2012-05-11,,10派0.5元(含税),2011年报
2013-05-17,年度分红,,,0.5,2013-05-23,2013-05-24,2013-05-31,,10派0.5元(含税),2012年报
2014-04-10,年度分红,,,0.5,2014-04-15,2014-04-16,2014-04-22,,10派0.5元(含税),2013年报
2015-05-06,年度分红,,,0.15,2015-05-12,2015-05-13,2015-05-13,,10派0.15元(含税),2014年报
2016-05-17,年度分红,,15.0,0.2,2016-05-20,2016-05-23,2016-05-23,,10转增15股派0.2元(含税),2015年报
2017-05-18,年度分红,,,0.2,2017-05-24,2017-05-25,2017-05-25,,10派0.2元(含税),2016年报
2018-05-30,年度分红,,,0.2,2018-06-06,2018-06-07,2018-06-07,,10派0.2元(含税),2017年报
2019-05-24,年度分红,,,0.25,2019-05-29,2019-05-30,2019-05-30,,10派0.25元(含税),2018年报
2020-04-21,年度分红,,,0.3,2020-04-24,2020-04-27,2020-04-27,,10派0.3元(含税),2019年报
2021-05-20,年度分红,,,1.0,2021-05-25,2021-05-26,2021-05-26,,10派1元(含税),2020年报
2022-04-26,年度分红,,,1.5,2022-04-29,2022-05-05,2022-05-05,,10派1.5元(含税),2021年报
2023-04-26,年度分红,,,1.5,2023-05-05,2023-05-08,2023-05-08,,10派1.5元(含税),2022年报
