实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-08-06,年度分红,2.0,,,1994-08-15,1994-08-16,,,10送2股,1993年报
1995-09-29,年度分红,,,1.79,1995-10-10,1995-10-11,1995-10-13,,10派1.79元(含税),1994年报
1996-07-24,年度分红,1.0,0.0,1.3,1996-07-29,1996-07-30,1996-08-05,,10送1股派1.30元(含税),1995年报
1997-06-20,年度分红,0.0,2.0,0.0,1997-06-27,1997-07-02,,,10转增2股,1996年报
2012-07-11,年度分红,,,1.0,2012-07-18,2012-07-19,2012-07-19,,10派1元(含税),2011年报
2012-10-19,中期分红,,10.0,,2012-10-25,2012-10-26,,2012-10-26,10转增10股,2012半年报
2013-07-19,年度分红,,,0.5,2013-07-25,2013-07-26,2013-07-26,,10派0.5元(含税),2012年报
2014-06-13,年度分红,,,0.5,2014-06-19,2014-06-20,2014-06-20,,10派0.5元(含税),2013年报
2015-06-19,年度分红,,,0.3,2015-06-26,2015-06-29,2015-06-29,,10派0.3元(含税),2014年报
2016-05-25,年度分红,,10.0,,2016-05-30,2016-05-31,,2016-05-31,10转增10股,2015年报
2017-07-01,年度分红,,,1.5,2017-07-06,2017-07-07,2017-07-07,,10派1.5元(含税),2016年报
2018-08-08,年度分红,,,1.0,2018-08-14,2018-08-15,2018-08-15,,10派1元(含税),2017年报
