实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2020-06-03,年度分红,,,,,,,,10派10.6元(含税),2019年报
2021-06-10,年度分红,,,,,,,,10派5.17元(含税),2020年报
2022-05-27,年度分红,,,,,,,,10派6.46元(含税),2021年报
2023-05-29,年度分红,,,,,,,,10派5.81元(含税),2022年报
2023-09-27,中期分红,,10.0,,,,,,10转增10股,2023半年报
2024-05-30,年度分红,,,,,,,,10派3.883元(含税),2023年报
2025-06-10,年度分红,,3.0,,,,,,10转增3股派3.883元(含税),2024年报
2025-10-15,中期分红,,,,,,,,10派2.246307元(含税),2025半年报
2026-05-07,年度分红,,,,,,,,10派3.743846元(含税),2025年报
2026-09-07,中期分红,,,,,,,,10派2.25元(含税),2026半年报
