实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-05-26,年度分红,,,2.0,2003-05-29,2003-05-30,2003-06-09,,10派2元（含税）,2002年报
2004-06-10,年度分红,,4.0,,2004-06-15,2004-06-16,,,10转增4股,2003年报
2006-06-12,年度分红,,,1.0,2006-06-15,2006-06-16,2006-06-22,,10派1元（含税）,2005年报
2010-07-07,年度分红,,,1.0,2010-07-12,2010-07-13,2010-07-16,,10派1元（含税）,2009年报
2013-06-04,年度分红,,,1.0,2013-06-07,2013-06-13,2013-06-19,,10派1元(含税),2012年报
2014-05-21,年度分红,,10.0,1.0,2014-05-26,2014-05-27,2014-05-30,2014-05-28,10转增10股派1元(含税),2013年报
2015-07-03,年度分红,,,1.0,2015-07-08,2015-07-09,2015-07-09,,10派1元(含税),2014年报
2016-07-12,年度分红,,,1.0,2016-07-15,2016-07-18,2016-07-18,,10派1元(含税),2015年报
2017-06-30,年度分红,,,0.5,2017-07-06,2017-07-07,2017-07-07,,10派0.5元(含税),2016年报
2025-05-30,年度分红,,,1.0,2025-06-06,2025-06-09,2025-06-09,,10派1元(含税),2024年报
2026-05-29,年度分红,,,0.5,2026-06-05,2026-06-08,2026-06-08,,10派0.5元(含税),2025年报
