实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2005-04-29,年度分红,0.0,0.0,3.0,2005-05-11,2005-05-12,2005-05-12,,10派3元(含税),2004年报
2005-10-13,中期分红,,5.0,,2005-10-18,2005-10-19,,,10转增5股,2005半年报
2006-06-16,年度分红,,10.0,1.5,2006-06-22,2006-06-23,2006-06-23,,10转增10股派1.5元（含税）,2005年报
2007-05-30,年度分红,,,0.5,2007-06-04,2007-06-05,2007-06-05,,10派0.5元（含税）,2006年报
2008-04-29,年度分红,,,1.0,2008-05-07,2008-05-08,2008-05-08,,10派1元（含税）,2007年报
2008-09-24,中期分红,,,10.0,2008-10-07,2008-10-08,2008-10-08,,10派10元（含税）,2008半年报
2009-04-28,年度分红,,,2.0,2009-05-06,2009-05-07,2009-05-07,,10派2元（含税）,2008年报
2010-05-08,年度分红,,3.0,10.0,2010-05-13,2010-05-14,2010-05-14,2010-05-14,10转增3股派10元（含税）,2009年报
2010-10-11,中期分红,,5.0,,2010-10-15,2010-10-18,,2010-10-18,10转增5股,2010半年报
2011-05-12,年度分红,,,5.0,2011-05-18,2011-05-19,2011-05-19,,10派5元(含税),2010年报
2012-05-31,年度分红,,,6.0,2012-06-06,2012-06-07,2012-06-07,,10派6元(含税),2011年报
2013-05-03,年度分红,,,5.0,2013-05-08,2013-05-09,2013-05-09,,10派5元(含税),2012年报
2014-05-09,年度分红,,5.0,5.0,2014-05-15,2014-05-16,2014-05-16,2014-05-16,10转增5股派5元(含税),2013年报
2015-06-10,年度分红,,,3.5,2015-06-17,2015-06-18,2015-06-18,,10派3.5元(含税),2014年报
2016-06-02,年度分红,,,2.0,2016-06-07,2016-06-08,2016-06-08,,10派2元(含税),2015年报
2017-06-02,年度分红,,,6.0,2017-06-08,2017-06-09,2017-06-09,,10派6元(含税),2016年报
2018-05-23,年度分红,,7.0,7.0,2018-05-29,2018-05-30,2018-05-30,2018-05-30,10转增7股派7元(含税),2017年报
2019-07-04,年度分红,,,7.0,2019-07-11,2019-07-12,2019-07-12,,10派7元(含税),2018年报
2020-06-10,年度分红,,,5.0,2020-06-16,2020-06-17,2020-06-17,,10派5元(含税),2019年报
2021-05-12,年度分红,,2.0,7.0,2021-05-18,2021-05-19,2021-05-19,2021-05-19,10转增2股派7元(含税),2020年报
2022-05-18,年度分红,,2.0,7.0,2022-05-24,2022-05-25,2022-05-25,2022-05-25,10转增2股派7元(含税),2021年报
2023-06-08,年度分红,,,5.0,2023-06-13,2023-06-14,2023-06-14,,10派5元(含税),2022年报
2024-05-23,年度分红,,,4.5,2024-05-28,2024-05-29,2024-05-29,,10派4.5元(含税),2023年报
2025-01-15,特别分红,,,2.0,2025-01-21,2025-01-22,2025-01-22,,10派2元(含税),2024年报
2025-05-14,年度分红,,,5.0,2025-05-20,2025-05-21,2025-05-21,,10派5元(含税),2024年报
2025-10-10,中期分红,,,2.0,2025-10-17,2025-10-20,2025-10-20,,10派2元(含税),2025半年报
2026-05-21,年度分红,,,8.0,2026-05-27,2026-05-28,2026-05-28,,10派8元(含税),2025年报
