实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2013-05-29,年度分红,,,1.0,2013-06-03,2013-06-04,2013-06-07,,10派1元(含税),2012年报
2014-05-17,年度分红,,,2.0,2014-05-22,2014-05-23,2014-05-29,,10派2元(含税),2013年报
2015-05-23,年度分红,2.0,3.0,1.0,2015-05-28,2015-05-29,2015-05-29,,10送2转增3股派1元(含税),2014年报
2016-06-14,年度分红,,,1.0,2016-06-20,2016-06-21,2016-06-21,,10派1元(含税),2015年报
2017-07-13,年度分红,,,1.5,2017-07-20,2017-07-21,2017-07-21,,10派1.5元(含税),2016年报
2018-06-21,年度分红,,,2.0,2018-06-27,2018-06-28,2018-06-28,,10派2元(含税),2017年报
2019-07-04,年度分红,,,2.5,2019-07-10,2019-07-11,2019-07-11,,10派2.5元(含税),2018年报
2020-06-18,年度分红,,,2.5,2020-06-23,2020-06-24,2020-06-24,,10派2.5元(含税),2019年报
2021-07-10,年度分红,,,3.0,2021-07-15,2021-07-16,2021-07-16,,10派3元(含税),2020年报
2022-08-05,年度分红,,,3.0,2022-08-11,2022-08-12,2022-08-12,,10派3元(含税),2021年报
2023-07-18,年度分红,,,3.0,2023-07-25,2023-07-26,2023-07-26,,10派3元(含税),2022年报
2024-07-10,年度分红,,,3.3,2024-07-17,2024-07-18,2024-07-18,,10派3.3元(含税),2023年报
2025-01-14,季度分红,,,1.0,2025-01-17,2025-01-20,2025-01-20,,10派1元(含税),2024三季报
2025-07-01,年度分红,,,2.4,2025-07-08,2025-07-09,2025-07-09,,10派2.4元(含税),2024年报
2025-12-10,季度分红,,,1.0,2025-12-16,2025-12-17,2025-12-17,,10派1元(含税),2025三季报
