实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-06-09,年度分红,,,3.0,2010-06-18,2010-06-21,2010-06-21,,10派3元（含税）,2009年报
2011-04-21,年度分红,,10.0,1.8,2011-04-27,2011-04-28,2011-04-28,2011-04-28,10转增10股派1.8元(含税),2010年报
2012-05-18,年度分红,,,0.5,2012-05-24,2012-05-25,2012-05-25,,10派0.5元(含税),2011年报
2013-05-03,年度分红,,,0.5,2013-05-09,2013-05-10,2013-05-10,,10派0.5元(含税),2012年报
2014-05-19,年度分红,,,0.8,2014-05-23,2014-05-26,2014-05-26,,10派0.8元(含税),2013年报
2015-05-08,年度分红,,,0.9,2015-05-13,2015-05-14,2015-05-14,,10派0.9元(含税),2014年报
2016-04-27,年度分红,,,0.3,2016-05-04,2016-05-05,2016-05-05,,10派0.3元(含税),2015年报
2017-06-21,年度分红,,,0.4,2017-06-26,2017-06-27,2017-06-27,,10派0.4元(含税),2016年报
2018-05-16,年度分红,,,0.5,2018-05-21,2018-05-22,2018-05-22,,10派0.5元(含税),2017年报
2019-05-09,年度分红,,1.904078,0.952039,2019-05-14,2019-05-15,2019-05-15,2019-05-15,10转增1.904078股派0.952039元(含税),2018年报
2020-04-24,年度分红,,,0.499461,2020-04-29,2020-04-30,2020-04-30,,10派0.499461元(含税),2019年报
2021-05-11,年度分红,,,0.4,2021-05-14,2021-05-17,2021-05-17,,10派0.4元(含税),2020年报
2023-05-09,年度分红,,,0.5,2023-05-15,2023-05-16,2023-05-16,,10派0.5元(含税),2022年报
2025-05-08,年度分红,,,0.1,2025-05-15,2025-05-16,2025-05-16,,10派0.1元(含税),2024年报
2026-05-20,年度分红,,,0.1,2026-05-25,2026-05-26,2026-05-26,,10派0.1元(含税),2025年报
