实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-05-18,年度分红,,,2.0,2001-05-24,2001-05-25,2001-05-31,,10派2元(含税),2000年报
2002-06-27,年度分红,,,2.0,2002-07-02,2002-07-03,2002-07-10,,10派2元(含税),2001年报
2003-06-04,年度分红,,,2.5,2003-06-09,2003-06-10,2003-06-13,,10股派2.5元(含税),2002年报
2004-05-15,年度分红,1.0,4.0,0.25,2004-05-19,2004-05-20,2004-05-26,2004-05-20,10送1转增4股派0.25元(含税),2003年报
2005-05-20,年度分红,,,1.5,2005-05-25,2005-05-26,2005-05-31,,10派1.5元(含税),2004年报
2006-05-12,年度分红,2.0,3.0,0.25,2006-05-17,2006-05-18,2006-05-23,,10送2转增3股派0.25元(含税),2005年报
2007-04-25,年度分红,3.0,7.0,0.35,2007-04-30,2007-05-08,2007-05-11,,10送3转增7股派0.35元（含税）,2006年报
2008-02-27,年度分红,1.0,4.0,0.12,2008-03-03,2008-03-04,2008-03-07,,10送1转增4股派0.12元（含税）,2007年报
2009-04-16,年度分红,5.0,5.0,0.6,2009-04-21,2009-04-22,2009-04-27,2009-04-23,10送5转增5股派0.6元（含税）,2008年报
2010-05-18,年度分红,,,0.35,2010-05-21,2010-05-24,2010-05-27,,10派0.35元（含税）,2009年报
2011-05-19,年度分红,,,0.5,2011-05-24,2011-05-25,2011-05-30,,10派0.5元(含税),2010年报
2012-05-23,年度分红,,,0.5,2012-05-28,2012-05-29,2012-06-01,,10派0.5元(含税),2011年报
2013-07-22,年度分红,,,2.0,2013-07-25,2013-07-26,2013-08-05,,10派2元(含税),2012年报
2014-07-16,年度分红,,,2.6,2014-07-21,2014-07-22,2014-07-22,,10派2.6元(含税),2013年报
2015-06-10,年度分红,5.0,5.0,3.2,2015-06-15,2015-06-16,2015-06-16,,10送5转增5股派3.2元(含税),2014年报
2016-05-24,年度分红,,,1.9,2016-05-30,2016-05-31,2016-05-31,,10派1.9元(含税),2015年报
2017-06-22,年度分红,,,2.05,2017-06-28,2017-06-29,2017-06-29,,10派2.05元(含税),2016年报
2018-07-09,年度分红,,,2.35,2018-07-12,2018-07-13,2018-07-13,,10派2.35元(含税),2017年报
2019-08-22,年度分红,,,0.24,2019-08-27,2019-08-28,2019-08-28,,10派0.24元(含税),2018年报
2021-12-10,重整转增,,18.0,,2021-12-14,2021-12-15,,,10转增18股,
