实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-16,年度分红,,,3.0,2017-06-22,2017-06-23,2017-06-23,,10派3元(含税),2016年报
2018-05-21,年度分红,,9.0,5.0,2018-05-25,2018-05-28,2018-05-28,2018-05-28,10转增9股派5元(含税),2017年报
2019-04-02,年度分红,,5.0,3.0,2019-04-10,2019-04-11,2019-04-11,2019-04-11,10转增5股派3元(含税),2018年报
2020-05-19,年度分红,,6.0,2.0,2020-05-25,2020-05-26,2020-05-26,2020-05-26,10转增6股派2元(含税),2019年报
2021-04-22,年度分红,,5.0,1.6,2021-04-28,2021-04-29,2021-04-29,2021-04-29,10转增5股派1.6元(含税),2020年报
2022-06-06,年度分红,,,1.26,2022-06-13,2022-06-14,2022-06-14,,10派1.26元(含税),2021年报
2023-06-27,年度分红,,,0.95,2023-07-03,2023-07-04,2023-07-04,,10派0.95元(含税),2022年报
2024-05-29,年度分红,,,0.58,2024-06-05,2024-06-06,2024-06-06,,10派0.58元(含税),2023年报
2025-06-18,年度分红,,,1.5,2025-06-25,2025-06-26,2025-06-26,,10派1.5元(含税),2024年报
2026-06-17,年度分红,,,1.5,2026-06-25,2026-06-26,2026-06-26,,10派1.5元(含税),2025年报
