实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2013-07-06,年度分红,,,5.5,2013-07-11,2013-07-12,2013-07-17,,10派5.5元(含税),2012年报
2014-06-23,年度分红,,10.0,5.0,2014-06-26,2014-06-27,2014-06-27,2014-06-30,10转增10股派5元(含税),2013年报
2015-07-08,年度分红,,10.0,1.8,2015-07-13,2015-07-14,2015-07-14,,10转增10股派1.8元(含税),2014年报
2016-07-29,年度分红,,,0.75,2016-08-04,2016-08-05,2016-08-05,,10派0.75元(含税),2015年报
2017-08-03,年度分红,,,0.45,2017-08-08,2017-08-09,2017-08-09,,10派0.45元(含税),2016年报
2018-07-24,年度分红,,,0.45,2018-07-27,2018-07-30,2018-07-30,,10派0.45元(含税),2017年报
2019-07-15,年度分红,,,1.3,2019-07-18,2019-07-19,2019-07-19,,10派1.3元(含税),2018年报
2020-07-17,年度分红,,,1.31,2020-07-23,2020-07-24,2020-07-24,,10派1.31元(含税),2019年报
2021-07-16,年度分红,,,1.61,2021-07-22,2021-07-23,2021-07-23,,10派1.61元(含税),2020年报
2022-07-19,年度分红,,,1.05,2022-07-26,2022-07-27,2022-07-27,,10派1.05元(含税),2021年报
2023-07-12,年度分红,,,1.63,2023-07-18,2023-07-19,2023-07-19,,10派1.63元(含税),2022年报
2024-07-13,年度分红,,,1.69,2024-07-18,2024-07-19,2024-07-19,,10派1.69元(含税),2023年报
2025-07-12,年度分红,,,1.32,2025-07-17,2025-07-18,2025-07-18,,10派1.32元(含税),2024年报
