实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2006-07-18,股改分红,,4.68,,2006-07-19,,,,10转增4.68股,2006半年报
2009-06-05,年度分红,,,0.3,2009-06-11,2009-06-12,2009-06-12,,10派0.3元（含税）,2008年报
2010-07-27,年度分红,,10.0,5.0,2010-08-02,2010-08-03,2010-08-03,2010-08-03,10转增10股派5元（含税）,2009年报
2011-06-03,年度分红,,,0.4,2011-06-09,2011-06-10,2011-06-10,,10派0.4元(含税),2010年报
2012-05-10,年度分红,,,0.4,2012-05-16,2012-05-17,2012-05-17,,10派0.4元(含税),2011年报
2012-09-19,中期分红,,,1.0,2012-09-24,2012-09-25,2012-09-25,,10派1元(含税),2012半年报
2013-06-14,年度分红,,,0.45,2013-06-21,2013-06-24,2013-06-24,,10派0.45元(含税),2012年报
2013-10-09,中期分红,,,0.2,2013-10-15,2013-10-16,2013-10-16,,10派0.2元(含税),2013半年报
2014-05-29,年度分红,,,0.3,2014-06-05,2014-06-06,2014-06-06,,10派0.3元(含税),2013年报
2014-09-30,中期分红,,,0.3,2014-10-13,2014-10-14,2014-10-14,,10派0.3元(含税),2014半年报
2015-06-20,年度分红,,,0.3,2015-06-26,2015-06-29,2015-06-29,,10派0.3元(含税),2014年报
2015-11-06,中期分红,,,0.3,2015-11-12,2015-11-13,2015-11-13,,10派0.3元(含税),2015半年报
2016-06-02,年度分红,,,0.3,2016-06-07,2016-06-08,2016-06-08,,10派0.3元(含税),2015年报
2016-12-02,中期分红,,,0.3,2016-12-07,2016-12-08,2016-12-08,,10派0.3元(含税),2016半年报
2017-06-30,年度分红,,,0.3,2017-07-06,2017-07-07,2017-07-07,,10派0.3元(含税),2016年报
2017-12-08,中期分红,,,0.3,2017-12-14,2017-12-15,2017-12-15,,10派0.3元(含税),2017半年报
2019-07-01,年度分红,,,0.3,2019-07-05,2019-07-08,2019-07-08,,10派0.3元(含税),2018年报
2020-07-13,年度分红,,,0.2,2020-07-17,2020-07-20,2020-07-20,,10派0.2元(含税),2019年报
2021-07-02,年度分红,,,0.2,2021-07-08,2021-07-09,2021-07-09,,10派0.2元(含税),2020年报
