实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-09-10,年度分红,4.0,0.0,0.0,1994-09-16,1994-09-19,,,10送4股,1993年报
1996-05-03,年度分红,3.0,0.0,2.0,1996-05-18,1996-05-19,,,10送3股派2元(含税),1995年报
1998-05-06,年度分红,4.0,4.0,0.0,1998-05-11,1998-05-12,,,10送4转增4股,1997年报
2001-04-24,年度分红,,,0.4,2001-04-30,2001-05-08,2001-05-14,,10派0.4元（含税）,2000年报
2008-06-05,年度分红,,,0.4,2008-06-11,2008-06-12,2008-06-17,,10派0.4元（含税）,2007年报
2011-05-16,年度分红,3.0,,2.0,2011-05-19,2011-05-20,2011-05-26,2011-05-23,10送3股派2元(含税),2010年报
2012-05-15,年度分红,,,1.5,2012-05-18,2012-05-21,2012-05-25,,10派1.5元(含税),2011年报
2013-06-05,年度分红,2.0,,1.5,2013-06-13,2013-06-14,2013-06-20,2013-06-17,10送2股派1.5元(含税),2012年报
2014-06-24,年度分红,,,1.5,2014-06-27,2014-06-30,2014-06-30,,10派1.5元(含税),2013年报
2015-06-24,年度分红,,,1.5,2015-06-29,2015-06-30,2015-06-30,,10派1.5元(含税),2014年报
2016-06-21,年度分红,,,1.0,2016-06-24,2016-06-27,2016-06-27,,10派1元(含税),2015年报
2017-06-26,年度分红,,,1.0,2017-06-29,2017-06-30,2017-06-30,,10派1元(含税),2016年报
2025-05-30,年度分红,,,0.5,2025-06-05,2025-06-06,2025-06-06,,10派0.5元(含税),2024年报
2025-11-07,季度分红,,,0.3,2025-11-12,2025-11-13,2025-11-13,,10派0.3元(含税),2025三季报
