实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2015-05-22,年度分红,,,1.71,2015-05-28,2015-05-29,2015-05-29,,10派1.71元(含税),2014年报
2016-05-26,年度分红,,,0.35,2016-05-31,2016-06-01,2016-06-01,,10派0.35元(含税),2015年报
2017-06-14,年度分红,,5.0,0.55,2017-06-19,2017-06-20,2017-06-20,2017-06-20,10转增5股派0.55元(含税),2016年报
2018-06-19,年度分红,,2.0,1.0,2018-06-25,2018-06-26,2018-06-26,2018-06-26,10转增2股派1元(含税),2017年报
2019-06-19,年度分红,,,1.0,2019-06-24,2019-06-25,2019-06-25,,10派1元(含税),2018年报
2020-05-19,年度分红,,,1.0,2020-05-22,2020-05-25,2020-05-25,,10派1元(含税),2019年报
2021-05-22,年度分红,,,1.5388,2021-05-27,2021-05-28,2021-05-28,,10派1.5388元(含税),2020年报
2022-06-21,年度分红,,,2.0,2022-06-24,2022-06-27,2022-06-27,,10派2元(含税),2021年报
2023-07-04,年度分红,,,0.7,2023-07-07,2023-07-10,2023-07-10,,10派0.7元(含税),2022年报
2024-05-24,年度分红,,,0.4,2024-05-29,2024-05-30,2024-05-30,,10派0.4元(含税),2023年报
2025-05-28,年度分红,,,0.5,2025-06-03,2025-06-04,2025-06-04,,10派0.5元(含税),2024年报
