实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-08-16,年度分红,,,1.3,2017-08-23,2017-08-24,2017-08-24,,10派1.3元(含税),2016年报
2018-06-14,年度分红,,,0.31,2018-06-21,2018-06-22,2018-06-22,,10派0.31元(含税),2017年报
2019-05-23,年度分红,,,0.27,2019-05-29,2019-05-30,2019-05-30,,10派0.27元(含税),2018年报
2020-07-02,年度分红,,,0.240026,2020-07-07,2020-07-08,2020-07-08,,10派0.240026元(含税),2019年报
2021-05-25,年度分红,,8.0,0.5,2021-05-31,2021-06-01,2021-06-01,2021-06-01,10转增8股派0.5元(含税),2020年报
2022-05-26,年度分红,,,0.48,2022-06-01,2022-06-02,2022-06-02,,10派0.48元(含税),2021年报
2023-05-23,年度分红,,,0.26,2023-05-29,2023-05-30,2023-05-30,,10派0.26元(含税),2022年报
2024-09-25,中期分红,,,0.22,2024-10-09,2024-10-10,2024-10-10,,10派0.22元(含税),2024半年报
2025-05-12,年度分红,,,0.999955,2025-05-19,2025-05-20,2025-05-20,,10派0.999955元(含税),2024年报
2026-05-21,年度分红,,,1.0,2026-05-28,2026-05-29,2026-05-29,,10派1元(含税),2025年报
