实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-06-16,年度分红,1.0,0.0,0.63,1994-06-29,1994-06-30,,,10送1股派0.63元,1993年报
1995-07-29,年度分红,1.0,0.0,1.0,1995-08-18,1995-08-21,,,10送1股派1.00元,1994年报
1996-08-02,年度分红,0.5,0.0,1.5,1996-08-12,1996-08-13,1996-08-19,,10送0.5股派1.50元,1995年报
1997-07-25,年度分红,0.0,0.0,0.9,1997-07-30,1997-07-31,1997-08-06,,10派0.90元(含税),1996年报
1997-10-29,中期分红,0.0,10.0,0.0,1997-11-03,1997-11-04,,,10转增10股,1997半年报
1999-06-09,年度分红,0.0,0.0,1.0,1999-06-15,1999-06-16,1999-06-22,,10派1元(含税),1998年报
2000-07-27,年度分红,0.0,0.0,2.2,2000-08-02,2000-08-03,2000-08-04,,10派2.2元（含税）,1999年报
2002-07-24,年度分红,2.0,,3.0,2002-07-31,2002-08-01,2002-08-01,,10送2股派3元(含税),2001年报
2003-08-29,年度分红,,,1.5,2003-09-04,2003-09-05,2003-09-05,,10股派1.5元（含税）,2002年报
2004-07-02,年度分红,0.0,0.0,3.0,2004-07-09,2004-07-12,2004-07-12,,10派3元(含税),2003年报
2005-06-30,年度分红,,,3.0,2005-07-06,2005-07-07,2005-07-07,,10派3元(含税),2004年报
2006-06-29,年度分红,,,5.0,2006-07-05,2006-07-06,2006-07-06,,10派5元（含税）,2005年报
2007-07-09,年度分红,,,3.5,2007-07-13,2007-07-16,2007-07-16,,10派3.5元（含税）,2006年报
2008-07-18,年度分红,,,3.6,2008-07-23,2008-07-24,2008-07-24,,10派3.6元（含税）,2007年报
2009-07-09,年度分红,,,1.0,2009-07-14,2009-07-15,2009-07-15,,10派1元（含税）,2008年报
2010-07-06,年度分红,,,3.0,2010-07-12,2010-07-13,2010-07-13,,10派3.00元（含税）,2009年报
2011-06-09,年度分红,,2.0,1.0,2011-06-15,2011-06-16,2011-06-16,2011-06-16,10转增2股派1元(含税),2010年报
2012-06-07,年度分红,,,1.0,2012-06-13,2012-06-14,2012-06-14,,10派1元(含税),2011年报
2013-05-24,年度分红,,,1.0,2013-05-30,2013-05-31,2013-05-31,,10派1元(含税),2012年报
2014-05-16,年度分红,,,2.5,2014-05-22,2014-05-23,2014-05-23,,10派2.5元(含税),2013年报
2015-06-17,年度分红,5.0,,2.0,2015-06-24,2015-06-25,2015-06-25,2015-06-25,10送5股派2元(含税),2014年报
2016-06-22,年度分红,,,2.0,2016-06-27,2016-06-28,2016-06-28,,10派2元(含税),2015年报
2017-06-22,年度分红,,,1.5,2017-06-28,2017-06-29,2017-06-29,,10派1.5元(含税),2016年报
2018-06-14,年度分红,,,0.8,2018-06-21,2018-06-22,2018-06-22,,10派0.8元（含税）,2017年报
2019-06-06,年度分红,,,0.5,2019-06-13,2019-06-14,2019-06-14,,10派0.5元(含税),2018年报
2020-06-04,年度分红,2.0,,0.5,2020-06-10,2020-06-11,2020-06-11,2020-06-11,10送2股派0.5元(含税),2019年报
2021-06-10,年度分红,,,2.6,2021-06-17,2021-06-18,2021-06-18,,10派2.6元(含税),2020年报
2022-06-10,年度分红,,,1.75,2022-06-16,2022-06-17,2022-06-17,,10派1.75元(含税),2021年报
2023-06-09,年度分红,,,1.4,2023-06-14,2023-06-15,2023-06-15,,10派1.4元(含税),2022年报
2024-06-12,年度分红,,,1.4,2024-06-17,2024-06-18,2024-06-18,,10派1.4元(含税),2023年报
2025-06-06,年度分红,,,1.5,2025-06-12,2025-06-13,2025-06-13,,10派1.5元(含税),2024年报
2026-06-17,年度分红,,,1.6,2026-06-23,2026-06-24,2026-06-24,,10派1.6元(含税),2025年报
