实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-05-12,年度分红,,5.0,2.5,2010-05-18,2010-05-19,2010-05-19,2010-05-19,10转增5股派2.5元（含税）,2009年报
2011-05-10,年度分红,,,2.0,2011-05-16,2011-05-17,2011-05-17,,10派2元(含税),2010年报
2011-08-18,中期分红,,5.0,,2011-08-23,2011-08-24,,2011-08-24,10转增5股,2011半年报
2012-05-11,年度分红,,10.0,2.0,2012-05-16,2012-05-17,2012-05-17,2012-05-17,10转增10股派2元(含税),2011年报
2013-05-11,年度分红,,,1.0,2013-05-16,2013-05-17,2013-05-17,,10派1元(含税),2012年报
2014-05-23,年度分红,,10.0,2.0,2014-05-29,2014-05-30,2014-05-30,2014-05-30,10转增10股派2元(含税),2013年报
2015-06-02,年度分红,,9.983377,1.497506,2015-06-08,2015-06-09,2015-06-09,2015-06-09,10转增9.983377股派1.497506 元(含税),2014年报
2016-07-12,年度分红,,,0.5,2016-07-15,2016-07-18,2016-07-18,,10派0.5元(含税),2015年报
2017-06-21,年度分红,,,0.653531,2017-06-23,2017-06-26,2017-06-26,,10派0.653531元(含税),2016年报
2018-07-11,年度分红,,,0.206224,2018-07-18,2018-07-19,2018-07-19,,10派0.206224元(含税),2017年报
2019-07-11,年度分红,,,0.326884,2019-07-17,2019-07-18,2019-07-18,,10派0.326884元(含税),2018年报
2021-06-10,年度分红,,,0.608609,2021-06-17,2021-06-18,2021-06-18,,10派0.608609元(含税),2020年报
2022-05-27,年度分红,,,0.426026,2022-06-06,2022-06-07,2022-06-07,,10派0.426026元(含税),2021年报
2024-05-30,年度分红,,,0.1,2024-06-06,2024-06-07,2024-06-07,,10派0.1元(含税),2023年报
2025-05-27,年度分红,,4.0,,2025-06-03,2025-06-04,,2025-06-04,10转增4股,2024年报
2026-06-18,年度分红,,,0.1,2026-06-25,2026-06-26,2026-06-26,,10派0.1元(含税),2025年报
