实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-16,年度分红,8.0,,3.5,2017-05-22,2017-05-23,2017-05-23,2017-05-23,10送8股派3.5元(含税),2016年报
2018-05-17,年度分红,,8.0,2.1,2018-05-24,2018-05-25,2018-05-25,2018-05-25,10转增8股派2.1元(含税),2017年报
2019-05-10,年度分红,,8.0,1.4,2019-05-16,2019-05-17,2019-05-17,2019-05-17,10转增8股派1.4元(含税),2018年报
2020-05-13,年度分红,,5.0,1.0,2020-05-19,2020-05-20,2020-05-20,2020-05-20,10转增5股派1元(含税),2019年报
2021-05-14,年度分红,3.5,0.5,2.05,2021-05-20,2021-05-21,2021-05-21,2021-05-21,10送3.5转增0.5股派2.05元(含税),2020年报
2022-04-26,年度分红,,,1.46,2022-05-05,2022-05-06,2022-05-06,,10派1.46元(含税),2021年报
2023-05-09,年度分红,,,1.4,2023-05-15,2023-05-16,2023-05-16,,10派1.4元(含税),2022年报
2024-05-10,年度分红,,,2.23,2024-05-15,2024-05-16,2024-05-16,,10派2.23元(含税),2023年报
2025-05-09,年度分红,,,2.24,2025-05-14,2025-05-15,2025-05-15,,10派2.24元(含税),2024年报
2025-10-30,中期分红,,,0.56,2025-11-04,2025-11-05,2025-11-05,,10派0.56元(含税),2025半年报
2026-05-13,年度分红,,,1.32,2026-05-19,2026-05-20,2026-05-20,,10派1.32元(含税),2025年报
